#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3197.28	104.874	-2618.67	5000	0	5000	-1992.84	69.9528	-1556.09	5000	0	5000	0	0	0	50.12	0.21707	50
500	-1019.35	22.6918	-889.924	4992.65	4.22972	5000.02	-666.71	8.65297	-631.812	4973.81	14.8105	5000	0.726523	0.00934295	0.667	49.3375	0.26426	50
1000	-607.665	4.80878	-597.624	4973.01	14.6119	5000.24	-490.853	3.83971	-487.039	4975.84	14.5717	5000	0.730222	0.00937807	0.687	49.36	0.256423	49.5
1500	-493.72	3.45316	-493.89	4974.72	14.551	4999.97	-410.855	3.02945	-410.34	4975.19	14.5061	5000	0.73231	0.00962489	0.6835	49.445	0.255917	50
2000	-425.6	2.85921	-428.452	4974.32	14.5711	4999.85	-356.726	2.69566	-354.77	4976.61	14.6893	5000	0.74117	0.00957476	0.6835	49.785	0.251929	50
2500	-378.946	2.67676	-378.787	4975.58	14.6838	4999.86	-315.364	2.55281	-315.085	4977.12	14.7312	5000	0.726515	0.00925246	0.673	50.075	0.251733	50
3000	-340.097	2.55162	-340.174	4976.41	14.7143	5000.12	-281.63	2.40725	-281.437	4976.22	14.7422	5000	0.722925	0.00960694	0.6545	50.3975	0.249156	51
3500	-307.011	2.40573	-308.233	4976.88	14.7272	5000.64	-251.809	2.30754	-248.994	4977.4	14.7338	5000	0.722475	0.00932907	0.686	50.7325	0.248206	51
4000	-279.937	2.30526	-277.276	4977.24	14.7327	5000.22	-226.886	2.18241	-224.264	4977.88	14.7629	5001	0.73685	0.00962978	0.6785	51.005	0.249661	51.5
4500	-256.426	2.1792	-253.152	4977.55	14.729	5000.86	-204.911	2.0922	-201.297	4978.26	14.7192	5001	0.73619	0.00996161	0.673	51.415	0.247204	52
5000	-235.368	2.08249	-234.204	4978.11	14.7378	5000.82	-186.271	1.96989	-183.753	4977.94	14.7558	5002	0.732175	0.00983131	0.6765	51.59	0.251172	51
5500	-216.831	1.99056	-213.276	4978.31	14.7239	5001.09	-169.585	1.87688	-167.216	4978.61	14.7458	5001	0.730895	0.00966219	0.659	51.8875	0.253447	52
6000	-200.814	1.90825	-197.691	4978.36	14.7415	5001.49	-154.791	1.80371	-150.573	4979.01	14.7235	5001	0.734682	0.00954095	0.6825	52.195	0.249997	53
6500	-186.751	1.83723	-183.072	4978.97	14.7257	5001.69	-141.632	1.71134	-139.193	4980.75	14.754	5001	0.731353	0.00962064	0.6805	52.3925	0.251579	53
7000	-173.443	1.7419	-171.32	4981.4	14.7597	5001.64	-129.7	1.62024	-126.54	4982.07	14.7982	5001	0.722928	0.00970743	0.66	52.665	0.252818	53
7500	-162.024	1.68565	-159.121	4983.37	14.8592	5001.76	-119.077	1.54598	-117.589	4983.85	14.8733	5002	0.727263	0.00981023	0.6755	52.8525	0.25256	53
8000	-152.178	1.566	-149.919	4984.09	14.8652	5001.35	-108.961	1.46943	-106.58	4985.57	14.8638	5002	0.730403	0.00998931	0.673	53.0225	0.252293	53
8500	-141.947	1.51761	-139.631	4984.95	14.8678	5001.55	-100.109	1.40088	-97.59	4985.54	14.8741	5002	0.728417	0.00964412	0.6745	53.2	0.255908	54
9000	-133.596	1.49597	-130.05	4985.07	14.8797	5002.09	-92.2694	1.31832	-88.9786	4986.25	14.8759	5002	0.731403	0.0101661	0.679	53.36	0.252136	54
9500	-126.264	1.39518	-124.902	4986.05	14.8824	5002.15	-84.994	1.26133	-82.304	4987.13	14.9327	5002	0.731898	0.00985409	0.676	53.4875	0.254778	54
10000	-117.675	1.35986	-114.704	4986.77	14.8726	5002.29	-78.2972	1.19338	-75.561	4986.97	14.8611	5003	0.732782	0.00985355	0.682	53.7	0.257129	54
10500	-112.289	1.31424	-110.708	4987.52	14.861	5002.59	-72.5355	1.12581	-70.4037	4987.51	14.872	5003	0.722767	0.00939478	0.6625	53.83	0.257621	54
11000	-106.843	1.22361	-104.651	4987.28	14.8723	5001.83	-67.0462	1.05347	-64.8385	4987.22	14.86	5003	0.72732	0.0096192	0.675	53.9325	0.258601	54
11500	-100.699	1.18872	-98.8272	4987.34	14.8794	5003.32	-62.1492	1.01011	-60.1922	4987.39	14.8909	5002	0.7234	0.00924793	0.6695	54.07	0.257495	54
12000	-96.2633	1.12463	-95.2357	4987.69	14.8879	5003.65	-57.6704	0.946652	-55.7091	4987.81	14.8749	5005	0.738995	0.00984188	0.68	54.245	0.255908	54
12500	-91.9544	1.08954	-90.1291	4988.26	14.8497	5003.89	-53.9024	0.90904	-51.3666	4987.62	14.8955	5004	0.728057	0.00939409	0.6895	54.2675	0.254193	54
13000	-88.6294	1.04608	-86.2344	4988.4	14.8661	5005.91	-50.0826	0.852799	-48.2946	4989	14.8725	5005	0.72254	0.00932769	0.6805	54.4225	0.257368	55
13500	-83.8152	1.01487	-81.6663	4989.1	14.891	5006.33	-46.794	0.804433	-45.3684	4989.02	14.8839	5005	0.728115	0.00917831	0.676	54.5025	0.256739	55
14000	-80.9891	0.977871	-78.6279	4989.38	14.872	5005.57	-43.8645	0.77031	-42.6719	4990.14	14.8887	5006	0.725867	0.00926815	0.671	54.5725	0.259094	55
14500	-77.7144	0.940277	-75.4828	4990.13	14.8915	5006.78	-41.0354	0.711999	-39.8512	4991.16	14.8153	5006	0.727925	0.00947073	0.6695	54.65	0.254963	55
15000	-74.5982	0.847252	-73.0551	4991.09	14.8088	5007.29	-38.3129	0.663636	-36.8434	4991.78	14.8194	5007	0.733355	0.00983126	0.676	54.84	0.256296	55
15500	-72.7956	0.851728	-70.5667	4991.37	14.8171	5007.4	-35.974	0.632269	-34.7643	4991.28	14.8349	5005	0.726095	0.00934333	0.669	54.845	0.256304	55
16000	-70.401	0.811091	-68.5873	4991.74	14.8163	5005.71	-33.8991	0.601988	-32.888	4992.52	14.8192	5007	0.72734	0.00964155	0.68	54.9675	0.256184	55
16500	-68.4769	0.791082	-67.9857	4992.49	14.8129	5006.89	-31.8392	0.54771	-31.1048	4991.73	14.8203	5008	0.726297	0.00941239	0.659	55.01	0.25708	55
17000	-65.821	0.792637	-64.1172	4992.54	14.821	5008.14	-30.1115	0.514743	-29.2981	4992.58	14.8222	5007	0.736785	0.00982343	0.6735	55.0825	0.257887	55
17500	-64.5715	0.744444	-62.8684	4992.54	14.8143	5008.17	-28.4372	0.488932	-27.4897	4991.76	14.8152	5007	0.72313	0.0093495	0.6645	55.175	0.258874	55
18000	-62.9288	0.704019	-62.2278	4992.46	14.8086	5008.89	-26.9198	0.468991	-25.8136	4992.33	14.7898	5007	0.73279	0.00974926	0.6785	55.2175	0.258685	55
18500	-61.3545	0.723419	-59.9368	4992.43	14.802	5006.94	-25.5334	0.449312	-24.4961	4992.81	14.8234	5008	0.721445	0.00913264	0.6765	55.275	0.259044	56
