#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3120.71	17.1295	-3111.54	5000	0	5000	-737.466	8.53357	-726.446	5000	0	5000	0	0	0	48.3987	0.38589	48
500	-1497.6	12.3063	-1496.47	4935.67	10.5255	4948.02	-556.514	4.65667	-562.984	4947.53	29.7742	4997	99.1918	0.606113	99.791	47.4114	0.447892	47.5
1000	-1059.15	24.893	-1143.78	4876.35	22.799	4935.36	-478.312	4.65807	-476.559	4862.87	38.3603	4950.5	65.8411	1.742	71.517	46.0696	0.500271	46
1500	-674.663	21.2081	-550.506	4868.49	31.3697	4955.88	-418.483	4.4711	-420.924	4880.78	35.1471	4955.5	30.2134	1.80027	24.6555	46.7658	0.519643	47.5
2000	-480.181	13.0557	-431.046	4865.22	34.1754	4959.87	-366.529	4.36324	-365.72	4883.81	36.3032	4971	13.7027	1.03384	6.9705	47.1899	0.487128	47
2500	-391.665	9.63933	-373.724	4866.56	35.4483	4964.16	-327.912	4.30032	-328.108	4864.84	36.3829	4957.5	8.46385	0.528935	6.436	46.8481	0.477856	47
3000	-334.821	5.59747	-333.438	4865.87	36.0308	4958.01	-298.527	4.18503	-297.082	4868.13	35.8868	4955.5	7.02374	0.321775	6.388	47.2468	0.475446	47.5
3500	-298.584	4.14302	-296.156	4867.2	36.3326	4961.49	-272.315	4.06251	-267.228	4869.83	36.4305	4965	6.54304	0.0930811	6.3455	47.5886	0.466756	48
4000	-273.736	4.11077	-271.795	4869.99	36.3511	4960.43	-250.647	4.05131	-244.633	4870.88	36.2382	4967	6.44955	0.0419547	6.3665	47.9114	0.46496	48
4500	-253.481	3.93113	-244.322	4870.62	36.2659	4957.36	-231.662	3.74391	-225.519	4867.97	36.0581	4958.5	6.45208	0.0431538	6.3775	48.1266	0.457915	48
5000	-236.08	3.8165	-228.35	4868.55	36.0686	4959.34	-216.902	3.71974	-211.249	4867.6	35.9988	4961.5	6.42658	0.0415982	6.368	48.462	0.46054	48.5
5500	-221.652	3.71894	-213.834	4868.44	36.0001	4960.52	-203.757	3.56631	-199.369	4867.75	36.0982	4959	6.42284	0.0433557	6.348	48.6962	0.458792	49
6000	-209.886	3.50565	-205.029	4869.24	35.9959	4959.39	-192.183	3.44457	-189.768	4869.17	35.9095	4958.5	6.42364	0.0413371	6.332	48.9367	0.450007	49
6500	-197.94	3.51779	-194.084	4870.36	35.9803	4960.3	-180.305	3.38696	-176.331	4869.14	36.0572	4961	6.40863	0.0393772	6.366	49.1519	0.446905	49
7000	-186.149	3.37446	-180.853	4870.8	36.0085	4959.74	-169.268	3.29079	-166.083	4871.78	36.0795	4959.5	6.40645	0.0407402	6.3455	49.3165	0.448248	49
7500	-177.007	3.37589	-174.101	4871.48	36.0412	4960.44	-159.622	3.2743	-153.868	4872.72	36.0737	4960	6.39151	0.0399594	6.332	49.5823	0.449696	49
8000	-166.637	3.3045	-161.284	4873.55	35.8553	4960.6	-151.031	3.2003	-147.388	4873.35	35.9248	4961	6.41558	0.039184	6.3765	49.7848	0.453901	50
8500	-160.485	3.27379	-157.561	4874.61	35.7938	4959.73	-143.872	3.12456	-142.631	4875.97	35.8416	4959.5	6.36641	0.0403769	6.3075	50.0127	0.446888	50
9000	-151.522	3.17723	-145.98	4876.04	35.9025	4959.93	-136.283	3.04302	-134.504	4877.22	35.9281	4960	6.4301	0.0412026	6.385	50.1899	0.443553	50
9500	-143.82	3.09632	-141.511	4877.04	35.9409	4959.6	-129.403	2.98594	-126.1	4876.78	35.9771	4960.5	6.42424	0.0432617	6.3525	50.3544	0.443455	50
10000	-138.169	3.09536	-135.758	4878.09	35.7519	4959.36	-122.068	2.89435	-121.136	4883.97	35.8604	4961	6.4279	0.0416869	6.364	50.6266	0.445578	50.5
10500	-131.502	2.96773	-128.529	4886.08	35.8694	4961.3	-115.841	2.78429	-112.152	4886.47	35.8705	4963	6.57972	0.15579	6.358	50.7911	0.451649	51
11000	-124.744	2.78813	-121.712	4886.53	35.8902	4961.65	-109.978	2.63744	-105.589	4886.3	35.8608	4963	6.64772	0.197865	6.3345	50.8987	0.452998	51
11500	-119.355	2.73658	-116.413	4887.27	35.8662	4963.74	-104.647	2.5256	-100.703	4888.18	35.8078	4963	6.55402	0.127499	6.3215	51.0506	0.452875	51
12000	-112.919	2.56344	-108.985	4887.86	35.7852	4964.34	-99.2926	2.42817	-95.3331	4888.43	35.8563	4964.5	6.56168	0.159634	6.369	51.2848	0.458826	51
12500	-108.114	2.48681	-104.475	4888.84	35.8422	4965.23	-93.9199	2.34726	-89.5172	4888.72	35.7836	4965	6.54559	0.127604	6.297	51.519	0.453224	52
13000	-103.366	2.39978	-99.3686	4888.6	35.8251	4963.97	-88.8513	2.26063	-84.9485	4888.69	35.8398	4965	6.52835	0.107405	6.353	51.7025	0.452404	52
13500	-99.0083	2.35005	-96.0108	4888.62	35.8029	4962.81	-84.3067	2.13936	-82.0557	4888.34	35.8186	4962.5	6.48706	0.0811103	6.366	51.7975	0.44288	52
14000	-92.8976	2.25809	-90.1397	4888.95	35.8052	4963.02	-80.5129	2.02882	-77.3399	4888.94	35.8463	4963	6.48933	0.0810063	6.363	51.8924	0.445496	52
14500	-91.2149	2.08687	-87.7466	4888.83	35.8216	4965.45	-77.2673	1.9605	-73.6954	4888.7	35.8369	4966	6.45875	0.0589088	6.379	51.9494	0.439411	52
15000	-87.2058	2.05211	-83.2319	4889.3	35.8279	4965.26	-74.1352	1.91913	-71.7289	4889.01	35.7959	4966	6.44446	0.0523782	6.362	52.0127	0.432773	52
15500	-83.7975	2.00474	-80.2326	4890.21	35.887	4965.45	-70.918	1.85381	-68.7702	4892.18	35.9047	4967	6.41659	0.0444091	6.3295	52.1519	0.435113	52
16000	-80.5478	1.80896	-77.6946	4890.58	35.867	4964.85	-67.7594	1.80507	-65.8671	4891.87	35.9758	4964.5	6.40454	0.0413793	6.3435	52.2025	0.442243	53
16500	-77.8903	1.85938	-75.6253	4892.57	35.8895	4964.94	-65.1847	1.76708	-62.5573	4893.57	35.877	4966.5	6.43675	0.046945	6.3495	52.3228	0.439821	52.5
17000	-76.2526	1.86894	-75.526	4893.01	35.8789	4963.94	-62.7038	1.72296	-60.6002	4893.69	35.8804	4962	6.44582	0.0677577	6.323	52.3671	0.441476	52
17500	-72.2288	1.80803	-69.0208	4893.42	35.8487	4963.37	-60.444	1.68825	-57.9372	4893.69	35.8863	4962	6.48692	0.0673561	6.374	52.4367	0.441848	52.5
18000	-70.9667	1.78233	-68.1883	4893.95	35.8817	4964.44	-58.058	1.62691	-54.2567	4894.46	35.869	4965.5	6.48949	0.0665631	6.383	52.519	0.444331	52
18500	-68.099	1.7253	-65.1876	4894.28	35.8527	4964.64	-55.9008	1.54026	-52.6236	4894.21	35.8481	4963	6.46021	0.066794	6.3345	52.5949	0.437041	52.5
19000	-65.6053	1.56024	-65.0883	4894.88	35.8577	4963.19	-53.767	1.49025	-51.4056	4895.88	35.8449	4964	6.48944	0.0620846	6.3635	52.6709	0.441301	52
19500	-63.3882	1.56071	-62.5347	4895.66	35.8563	4963.99	-51.8483	1.44552	-49.2085	4895.32	35.8604	4962.5	6.47529	0.0639108	6.332	52.7532	0.441689	53
20000	-62.0708	1.50864	-60.3146	4895.38	35.8303	4961.77	-50.0434	1.41721	-47.4535	4895.42	35.8815	4963.5	6.48243	0.0622472	6.3455	52.7785	0.443232	53
