#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3097.13	12.1483	-3091.31	5000	0	5000	-738.122	6.12509	-734.309	5000	0	5000	0	0	0	48.7447	0.255972	49
500	-997.389	8.55205	-1016.74	3600.05	49.7672	3743.59	-499.969	2.35951	-501.273	3412.62	91.1649	3460	5.81612	0.0498595	5.972	32.3982	0.933023	32
1000	-661.427	8.45083	-650.942	3072.84	72.542	3058.33	-423.885	2.44273	-425.671	3332.47	85.6785	3282	4.31248	0.114576	4.194	31.6748	0.870945	32
1500	-491.386	5.83811	-470.081	3161.23	77.7986	3007.35	-375.519	2.70871	-377.888	3396.81	85.1111	3178	4.3118	0.146141	3.789	32.6687	0.868744	32
2000	-397.538	4.11531	-387.171	3271.87	79.1036	3084.34	-336.759	2.88824	-336.747	3387.2	83.4786	3319	4.57306	0.156179	3.908	32.538	0.850171	32
2500	-343.574	3.40228	-339.765	3339.03	81.6776	3223.12	-307.576	3.00175	-308.445	3368.12	83.8541	3224	4.80596	0.16675	4.211	32.7781	0.845948	32
3000	-307.909	2.88128	-306.443	3356.31	83.1457	3214.19	-283.678	3.01494	-281.522	3381.02	84.0743	3228	4.95947	0.179631	4.158	33.1611	0.847052	32
3500	-283.23	2.98143	-280.94	3367.46	83.6854	3199.11	-263.162	3.14301	-259.755	3374.99	83.9312	3225	5.03793	0.183411	4.264	33.3921	0.843752	32
4000	-263.872	3.01693	-260.215	3366.94	83.6321	3220.03	-246.47	3.14778	-240.227	3364.94	83.5126	3201	5.06926	0.185111	4.272	33.5714	0.839801	32
4500	-246.641	3.04565	-240.687	3366.2	83.5617	3197.56	-230.712	3.14769	-223.011	3365.37	83.5498	3202	5.10982	0.188328	4.26	33.769	0.839656	33
5000	-232.082	3.05813	-224.523	3365.95	83.5155	3191.44	-216.527	3.16536	-208.859	3366.01	83.4581	3207	5.10236	0.186773	4.316	34.0638	0.836434	33
5500	-218.78	3.07439	-212.034	3366.89	83.508	3204.12	-204.472	3.15769	-196.299	3366.2	83.4469	3208	5.13367	0.187692	4.181	34.2705	0.833067	33
6000	-207.18	3.06736	-198.441	3367.18	83.4523	3210.11	-192.413	3.15681	-183.485	3366.82	83.4282	3209	5.17226	0.190854	4.306	34.5258	0.832828	34
6500	-195.424	3.08508	-187.636	3368.08	83.4666	3211.45	-182.165	3.15268	-171.359	3369.61	83.4448	3212	5.19328	0.191737	4.308	34.7264	0.832368	34
7000	-185.485	3.06806	-176.026	3369.66	83.4285	3212.02	-172.666	3.11536	-160.719	3370.24	83.4278	3212	5.23964	0.192579	4.315	34.9271	0.834263	34
7500	-176.534	3.02363	-165.978	3369.95	83.4286	3211.96	-162.675	3.07665	-153.358	3370.44	83.3947	3211	5.24276	0.192507	4.439	35.0912	0.831343	34
8000	-167.019	2.98017	-159.457	3371.66	83.3185	3211.58	-153.925	2.99936	-146.862	3372.38	83.2936	3212	5.25514	0.194341	4.388	35.3191	0.829458	34
8500	-158.468	2.91787	-151.755	3372.23	83.3087	3210.93	-145.951	2.92066	-139.971	3372.09	83.3099	3211	5.33878	0.201575	4.41	35.462	0.830621	34
9000	-150.765	2.81506	-143.448	3372.44	83.2716	3211.61	-138.66	2.85698	-130.671	3372.95	83.2199	3211	5.40793	0.207762	4.365	35.6231	0.829233	34
9500	-143.709	2.78626	-134.592	3373.23	83.2239	3226.61	-131.777	2.83009	-123.29	3373.43	83.2501	3226	5.40538	0.205058	4.451	35.8146	0.829939	35
10000	-136.641	2.73334	-127.612	3373.63	83.2263	3225.86	-125.405	2.79928	-114.866	3373.85	83.1998	3226	5.42094	0.206941	4.257	35.9939	0.83236	35
10500	-130.674	2.72339	-122.478	3373.84	83.2108	3226.59	-119.825	2.75826	-107.686	3373.45	83.2057	3226	5.46195	0.212433	4.37	36.0942	0.829807	35
11000	-125.551	2.6834	-114.806	3374.03	83.2095	3229.33	-114.536	2.754	-102.688	3374.21	83.2084	3230	5.48596	0.219553	4.427	36.234	0.832054	35
11500	-120.362	2.68677	-108.9	3374.02	83.2154	3229.21	-109.617	2.69594	-98.5435	3374.24	83.2311	3229	5.45706	0.215118	4.499	36.3921	0.830088	35
12000	-116.057	2.63996	-103.714	3374.47	83.2225	3229.18	-104.813	2.66907	-92.3248	3374.19	83.2059	3229	5.46381	0.219263	4.538	36.5076	0.830991	35
12500	-111.423	2.60206	-101.77	3374.73	83.2401	3228.17	-100.535	2.62887	-89.2282	3375.03	83.1969	3227	5.49194	0.220981	4.488	36.6383	0.831692	35
13000	-106.92	2.54993	-95.6488	3375.65	83.2317	3228.4	-96.2408	2.57446	-84.7355	3376.26	83.2252	3229	5.51199	0.216437	4.602	36.7538	0.830773	35
13500	-102.185	2.49787	-91.6887	3375.91	83.2174	3228.86	-92.2164	2.54327	-80.7058	3375.65	83.2311	3229	5.5248	0.213475	4.574	36.8663	0.832161	36
14000	-98.9806	2.48164	-87.6521	3375.78	83.2158	3228.56	-88.6523	2.51941	-76.7638	3375.21	83.1925	3226	5.57058	0.219101	4.614	37.0152	0.833411	36
14500	-95.1258	2.48252	-84.5178	3375.42	83.2196	3227.86	-84.8194	2.48359	-74.1646	3375.02	83.2334	3227	5.57973	0.221314	4.573	37.1216	0.832912	36
15000	-91.4298	2.41374	-80.4545	3375.39	83.2378	3227.61	-81.6395	2.44245	-71.3899	3376.04	83.2309	3228	5.60967	0.222175	4.627	37.1945	0.832792	36
15500	-88.4596	2.39457	-77.7436	3376	83.2456	3227.35	-78.6634	2.41619	-68.5354	3376.92	83.278	3224	5.6302	0.228433	4.5	37.2918	0.83226	36
16000	-85.4723	2.35045	-76.2347	3376.85	83.2773	3227.28	-75.419	2.37898	-65.0076	3376.88	83.254	3230	5.59767	0.22246	4.476	37.383	0.831379	37
16500	-82.5666	2.32266	-73.0994	3377.72	83.2688	3226.96	-72.6603	2.36713	-62.0881	3377.9	83.262	3228	5.57368	0.220755	4.444	37.4681	0.832293	36
17000	-79.788	2.30897	-70.579	3378.49	83.2444	3229.03	-70.3543	2.3565	-58.888	3378.47	83.2303	3230	5.58678	0.219624	4.463	37.5319	0.832393	36
17500	-77.8647	2.32116	-68.3779	3378.63	83.2377	3230.85	-68.0463	2.34211	-57.0076	3378.69	83.1961	3232	5.60439	0.224848	4.513	37.617	0.833004	36
18000	-75.5183	2.29499	-65.888	3378.75	83.2354	3231.5	-65.7665	2.33505	-55.2429	3378.76	83.2194	3229	5.63126	0.220225	4.608	37.6869	0.834155	37
18500	-73.343	2.27155	-64.2431	3378.55	83.247	3232.15	-63.647	2.30755	-53.6928	3378.89	83.2631	3229	5.63755	0.219467	4.595	37.769	0.835108	37
19000	-70.6049	2.25472	-61.4105	3379.05	83.273	3231.61	-61.6452	2.30151	-52.216	3378.93	83.2835	3229	5.67303	0.224186	4.578	37.8663	0.834596	37
19500	-68.7892	2.25618	-60.2064	3378.98	83.2611	3228.12	-59.7388	2.29296	-49.8331	3379.05	83.2792	3228	5.67811	0.22339	4.599	37.9757	0.835992	37
20000	-67.1327	2.23135	-59.4229	3379.02	83.2786	3227.32	-57.901	2.28683	-48.6675	3379.59	83.2759	3229	5.70409	0.227664	4.594	38.0274	0.835299	37
