#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3112.73	10.1054	-3096.53	5000	0	5000	-742.621	5.07812	-741.583	5000	0	5000	0	0	0	48.3975	0.229631	48
500	-692.198	3.63084	-692.918	4988.75	3.78554	5000.05	-486.781	2.918	-487.078	4987.64	6.20427	5000	4.36276	0.0809433	4.2615	48.56	0.243262	49
1000	-537.292	2.73356	-537.03	4988.55	4.99975	4999.67	-401.974	2.48888	-401.171	4992.1	4.80136	5000	1.61117	0.0659159	1.132	48.475	0.235982	49
1500	-466.031	2.55638	-465.801	4991.3	4.56637	5000.68	-353.103	2.24774	-352.074	4991.08	4.68225	5000	0.850898	0.0367606	0.6125	48.775	0.234891	49
2000	-420.251	2.32472	-419.519	4991.34	4.58178	5000.39	-315.237	2.18253	-315.54	4990.55	4.71321	5000	0.654465	0.0237573	0.573	49.05	0.226239	49
2500	-385.42	2.30981	-384.573	4991.05	4.65025	5000.84	-285.336	2.12187	-283.62	4990.98	4.70808	5001	0.60027	0.0193198	0.576	49.285	0.228972	49
3000	-357.074	2.21208	-356.071	4990.75	4.68343	5000.98	-260.214	2.03468	-259.323	4993.66	5.42339	5001	0.582653	0.0136239	0.5755	49.5125	0.234306	49
3500	-331.946	2.18424	-329.839	4990.93	4.77366	5000.58	-238.201	1.9878	-236.332	4993.39	5.48813	5000	0.567987	0.0084063	0.575	49.72	0.233243	50
4000	-310.429	2.09235	-308.132	4993.51	5.31975	5000.82	-218.611	1.87628	-218.445	4993.72	5.37052	5000	0.565113	0.00820843	0.5715	49.97	0.229902	50
4500	-292.628	2.03473	-290.38	4993.59	5.41146	5000.6	-202.447	1.81524	-203.8	4995.09	5.49118	5000	0.566408	0.00677403	0.575	50.3275	0.22747	50
5000	-277.782	2.04727	-276.437	4994.52	5.44555	5000.62	-188.533	1.75106	-188.242	4995.03	5.50194	5001	0.56679	0.00665084	0.576	50.5125	0.229551	50
5500	-263.226	1.98432	-263.681	4995.7	5.48798	5001.17	-175.501	1.69671	-174.826	4998.36	5.57881	5001	0.567803	0.00703238	0.579	50.6825	0.224957	51
6000	-250.255	1.91015	-249.749	4996.85	5.47501	5000.25	-163.706	1.64496	-162.194	4999.68	5.50757	5001	0.57329	0.00686285	0.574	50.9025	0.222528	51
6500	-238.982	1.89078	-234.808	4998.13	5.41474	5001.09	-153.159	1.58733	-152.543	4999.44	5.56569	5002	0.566265	0.00645372	0.5715	51.1475	0.223779	51
7000	-229.423	1.82789	-228.493	4999.25	5.46004	5001.03	-143.187	1.51272	-143.857	5000.76	5.55967	5002	0.564725	0.00656728	0.5745	51.3675	0.2223	51
7500	-218.885	1.83924	-216.985	5000.47	5.52565	5000.95	-134.245	1.45105	-133.865	5000.98	5.58973	5001.5	0.57252	0.00675753	0.5805	51.495	0.219877	51
8000	-209.456	1.74569	-207.227	5000.64	5.56739	5002.21	-126.076	1.37899	-124.043	5000.55	5.65027	5001.5	0.572018	0.00687436	0.5795	51.5975	0.220079	51
8500	-201.589	1.68199	-199.401	5000.94	5.60244	5002.42	-118.458	1.34084	-117.288	5000.95	5.62115	5001	0.572588	0.00709634	0.5665	51.7775	0.222613	51
9000	-193.568	1.6352	-191.426	5001.24	5.61676	5002.61	-111.314	1.28544	-108.925	5001.79	5.68468	5003	0.560225	0.0071174	0.552	51.9975	0.220233	52
9500	-186.767	1.61423	-185.718	5001.61	5.64219	5000.93	-105.305	1.23934	-103.665	5002.47	5.69107	5001	0.562855	0.00665409	0.5605	52.0875	0.218274	52
10000	-180.845	1.54536	-177.683	5001.78	5.66603	5002.49	-99.3836	1.21041	-98.4161	5002.91	5.72611	5002	0.574452	0.00656407	0.582	52.205	0.222274	52
10500	-175.286	1.5639	-172.799	5002.23	5.69177	5002.64	-93.5125	1.15687	-92.3811	5004.35	5.77052	5002	0.569787	0.00678853	0.586	52.43	0.220702	52
11000	-169.096	1.47418	-166.9	5002.7	5.70143	5002.91	-88.8853	1.13262	-87.8453	5004.49	5.76853	5003	0.558147	0.00663653	0.5615	52.5225	0.219646	52
11500	-163.404	1.47963	-159.714	5003.66	5.74167	5003.39	-84.1254	1.08114	-83.2634	5006.67	5.8323	5005	0.562803	0.00670644	0.568	52.715	0.222533	52.5
