#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3107.19	12.0293	-3088.17	5000	0	5000	-727.015	5.53793	-722.189	5000	0	5000	0	0	0	48.1933	0.253246	48
500	-975.907	9.19504	-977.046	3599.04	52.1572	3707.97	-499.66	2.81157	-501.26	3488.65	96.9839	3608.5	5.82935	0.0545508	5.935	33.0167	0.973134	33.5
1000	-627.277	7.78672	-601.46	3147.92	78.9906	3085.37	-424.748	2.7365	-432.121	3384.09	98.357	3327	4.44549	0.123809	4.146	31.8267	0.961123	31
1500	-471.747	5.68242	-455.024	3336.89	90.6064	3247.54	-378.607	2.81249	-375.563	3464.85	99.5048	3464.5	4.80283	0.17622	4.23	32.6267	0.972018	32
2000	-385.431	3.75695	-381.876	3424.43	94.8066	3438.11	-345.805	3.10105	-348.478	3454.11	96.6464	3430.5	5.31472	0.214063	4.709	32.8167	0.942239	32
2500	-344.665	3.45209	-341.127	3461.94	96.5067	3475.55	-320.558	3.28445	-320.262	3477.06	96.8094	3482.5	5.53327	0.22886	4.89	33.2933	0.937109	33
3000	-315.213	3.33906	-314.195	3472.94	96.4379	3477.14	-299.758	3.44692	-299.128	3473.59	96.3875	3479	5.59367	0.228461	4.982	33.4667	0.931205	33
3500	-294.81	3.43891	-292.433	3474.1	96.4186	3479.7	-281.879	3.62346	-280.245	3473.55	96.4072	3483	5.61038	0.226447	4.9985	33.7567	0.936247	33
4000	-278.539	3.65606	-270.766	3476.6	96.4748	3483.02	-265.021	3.76376	-258.806	3478.07	96.2713	3487	5.64367	0.228027	4.9815	34.02	0.938035	33
4500	-262.402	3.7359	-254.502	3478.13	96.3016	3482.45	-250.601	3.78906	-241.719	3479	96.3012	3483.5	5.67889	0.231622	5.036	34.2433	0.940381	33
5000	-248.18	3.73745	-239.07	3478.81	96.258	3482.75	-237.177	3.86458	-226.093	3480.16	96.3361	3482	5.70515	0.231859	5.1095	34.52	0.938599	34
5500	-235.242	3.76913	-223.588	3480.46	96.2553	3482.31	-224.343	3.84802	-213.76	3480.33	96.2308	3482	5.7373	0.233351	5.14	34.7033	0.93616	34
6000	-223.239	3.76173	-214.935	3481.44	96.2197	3482.04	-212.861	3.8408	-200.601	3481.85	96.1719	3482.5	5.74813	0.233933	5.202	34.9433	0.940291	34
6500	-211.633	3.80108	-199.407	3482.27	96.2029	3481.74	-202.313	3.86774	-192.49	3482.06	96.1938	3481	5.75667	0.233969	5.2195	35.1533	0.941612	35
7000	-202.405	3.80473	-191.27	3483.2	96.1697	3481.68	-193.169	3.88106	-181.406	3488.86	96.0651	3493.5	5.7965	0.236212	5.2495	35.33	0.93711	35
7500	-193.555	3.82145	-178.798	3489.51	96.0494	3494.49	-184.859	3.88462	-170.118	3489.7	96.0706	3493.5	5.85436	0.239785	5.241	35.5767	0.938981	35
8000	-184.743	3.79893	-171.759	3490.3	96.0309	3497.32	-175.424	3.83331	-163.739	3491.4	96.0811	3494.5	5.85947	0.242077	5.2995	35.7533	0.938759	36
8500	-175.852	3.74324	-163.349	3491.59	96.042	3496.66	-167.15	3.80407	-154.042	3491.65	96.0241	3498.5	5.88199	0.247868	5.2105	35.89	0.936224	35.5
9000	-167.486	3.73041	-154.265	3492	96.0233	3499.69	-158.992	3.80134	-144.521	3492.4	96.0479	3495.5	5.87732	0.246771	5.299	36.0933	0.937866	36
9500	-159.311	3.75184	-145.186	3492.85	96.0314	3500.45	-151.273	3.81257	-136.352	3493.11	96.0422	3507.5	5.87885	0.246811	5.156	36.27	0.940393	36
10000	-152.365	3.72648	-138.089	3493.61	95.9525	3506.73	-144.466	3.76385	-129.612	3493.84	95.9616	3507	5.89773	0.244605	5.137	36.4367	0.939543	36
10500	-145.926	3.67862	-132.247	3493.61	95.9543	3506.99	-138.179	3.75532	-124.757	3493.23	95.9388	3508.5	5.91107	0.245721	5.2075	36.6067	0.943567	36
11000	-139.812	3.67691	-125.064	3494.1	95.9868	3506.98	-132.561	3.70357	-119.799	3495.39	95.9847	3496.5	5.99068	0.252776	5.318	36.78	0.942727	36.5
11500	-134.615	3.6144	-122.376	3495.26	95.9528	3498.27	-126.74	3.64509	-115.596	3495.74	95.8974	3497.5	6.02142	0.256328	5.324	36.9333	0.94427	36.5
12000	-128.489	3.55635	-115.585	3497.12	95.7742	3496.35	-121.64	3.6003	-109.528	3497.68	95.6991	3497	5.98895	0.251827	5.2985	37.0667	0.940805	37
12500	-123.332	3.5177	-110.793	3499.15	95.638	3496.49	-116.681	3.56346	-104.626	3499.55	95.657	3496	5.96835	0.249994	5.277	37.18	0.940162	37
13000	-118.745	3.51081	-106.367	3499.59	95.6382	3495.16	-112.002	3.53515	-98.7265	3500.2	95.6459	3495.5	5.94844	0.248559	5.227	37.3233	0.938877	37
13500	-114.358	3.43727	-99.1958	3499.92	95.6302	3496.02	-107.148	3.46214	-93.0936	3499.61	95.6326	3495.5	5.97609	0.246711	5.35	37.45	0.937086	37
14000	-109.616	3.37743	-95.7262	3499.55	95.6329	3495.93	-103.108	3.41795	-89.9479	3499.32	95.6457	3496.5	6.03425	0.254446	5.2515	37.56	0.937631	37
14500	-105.999	3.34484	-91.8073	3500.1	95.6838	3495.39	-99.2802	3.38458	-86.5422	3500.55	95.6748	3496	6.07387	0.259733	5.287	37.68	0.937342	38
15000	-102.339	3.28773	-90.4627	3500.92	95.6782	3496.33	-95.5367	3.32968	-82.3994	3500.91	95.6759	3496	6.08379	0.260146	5.346	37.78	0.936177	38
15500	-98.7001	3.24817	-82.898	3501.55	95.726	3496	-92.3972	3.28759	-77.8847	3501.26	95.7161	3496	6.09047	0.25653	5.344	37.8567	0.935327	38
16000	-94.6861	3.20144	-80.2298	3501.56	95.7248	3495.98	-88.9037	3.23793	-75.3203	3501.69	95.7519	3495	6.09915	0.252838	5.2545	37.9233	0.936485	38
16500	-91.9661	3.17049	-76.9786	3501.61	95.7293	3495.49	-85.6223	3.18255	-71.841	3501.5	95.7481	3495.5	6.09145	0.250338	5.3435	38.0367	0.937552	38
17000	-88.7635	3.10048	-74.6731	3501.93	95.7263	3495.69	-82.5775	3.11969	-68.6038	3502.1	95.7289	3496.5	6.1074	0.256586	5.2915	38.1267	0.935138	38
17500	-85.6089	3.04916	-71.514	3502.15	95.7314	3495.28	-79.9382	3.08197	-65.1645	3502.23	95.7563	3495	6.12821	0.257101	5.309	38.17	0.936075	38
18000	-82.9835	2.9985	-69.3972	3502.28	95.7276	3494.74	-77.1882	3.03975	-61.4364	3502.34	95.7178	3495	6.16481	0.257895	5.319	38.2567	0.934614	38
18500	-80.551	2.96961	-66.8009	3502.38	95.7104	3497.85	-74.5411	2.9967	-59.4171	3502.13	95.7229	3494.5	6.12317	0.257766	5.361	38.3633	0.937247	38
19000	-77.8778	2.95158	-63.3558	3502.6	95.7071	3494.41	-72.1552	2.97921	-57.3661	3502.74	95.6841	3495.5	6.18499	0.26383	5.302	38.4367	0.936667	38
19500	-75.6729	2.89283	-61.9665	3502.88	95.6796	3495.18	-69.7403	2.92803	-55.7193	3503.05	95.6709	3497	6.17388	0.259564	5.284	38.5467	0.936146	39
20000	-73.145	2.86954	-59.6473	3502.82	95.6697	3494.66	-67.5486	2.89056	-53.3873	3502.61	95.6712	3495.5	6.19906	0.263856	5.289	38.61	0.9362	39
