#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3129.14	12.0266	-3124.26	5000	0	5000	-734.642	5.89707	-735.079	5000	0	5000	0	0	0	49.1683	0.255722	49
500	-1292.54	10.6538	-1307.45	4947.68	7.9109	4963.03	-540.773	3.39393	-544.103	4941.23	21.1675	4999	56.9511	0.642948	59.74	48.0317	0.321879	48
1000	-739.818	13.3129	-679.196	4930.73	18.6627	4989.17	-450.52	3.13974	-454.278	4945.64	22.8065	4999	27.2701	0.796875	26.365	48.127	0.334165	48
1500	-490.324	7.87451	-452.53	4945.8	21.5172	4996.02	-384.068	3.07567	-384.786	4943.37	21.7341	4996	9.11307	0.551333	4.262	48.3968	0.323691	48
2000	-383.382	3.88365	-378.242	4946.37	21.5902	4997.75	-335.614	2.87503	-335.541	4950.5	22.1882	4997	4.40701	0.229917	3.553	48.7365	0.322153	49
2500	-329.98	3.01112	-326.893	4950.99	22.0996	4997.68	-297.898	2.81299	-291.801	4952.85	22.285	4998	3.46712	0.155931	3.495	49.0317	0.328532	49
3000	-294.343	2.79912	-287.283	4953.97	22.3258	4996.82	-268.654	2.69751	-262.802	4954.2	22.3566	4996	3.7866	0.519012	3.487	49.3302	0.328162	49
3500	-266.723	2.69919	-261.106	4955.64	22.4219	4996.74	-242.686	2.65376	-235.614	4956.77	22.5141	4997	3.64839	0.379094	3.491	49.6921	0.321996	50
4000	-242.815	2.64037	-237.009	4957.28	22.5304	4996.59	-221.683	2.61895	-215.532	4956.87	22.4925	4997	3.74102	0.451235	3.484	49.9302	0.320601	50
4500	-222.922	2.61779	-216.606	4957.59	22.5209	4996.61	-203.292	2.61119	-198.112	4958.74	22.5326	4997	3.64575	0.327979	3.502	50.2635	0.319538	50
5000	-205.215	2.5816	-200.173	4958.77	22.46	4995.62	-187.269	2.53864	-184.373	4965.7	22.5855	4996	3.48997	0.190478	3.489	50.5524	0.321694	51
5500	-189.45	2.51431	-187.652	4964.92	22.5438	4996.88	-171.741	2.45846	-169.483	4967.1	22.5805	4997	3.6449	0.264373	3.505	50.8127	0.317169	51
6000	-174.76	2.42708	-171.359	4966.69	22.6071	4997.62	-158.267	2.37803	-153.992	4967.52	22.6658	4997	3.75539	0.454184	3.475	51.1111	0.3169	51
6500	-162.22	2.37324	-161.078	4967.79	22.6972	4997.75	-146.269	2.3072	-141.043	4969.7	22.7731	4998	3.69342	0.416495	3.487	51.3206	0.315678	51
7000	-150.79	2.2805	-146.739	4969.93	22.776	4998.08	-135.538	2.21758	-130.774	4970.13	22.7824	4997	3.70213	0.415935	3.485	51.5016	0.315359	51
7500	-140.907	2.22091	-137.016	4970.58	22.8065	4997.92	-126.19	2.12629	-121.559	4970.56	22.7979	4997	3.49966	0.217034	3.492	51.6603	0.31651	51
8000	-131.783	2.11794	-126.464	4970.92	22.8119	4997.86	-116.99	2.03763	-110.449	4971.29	22.8087	4997	3.46608	0.189534	3.468	51.873	0.318964	52
8500	-122.812	2.02121	-116.984	4971.49	22.8049	4998.54	-108.713	1.96326	-102.372	4972.04	22.7947	4999	3.4052	0.103047	3.491	52.1016	0.31715	52
9000	-115.154	1.95426	-110.651	4972.29	22.7875	4999.24	-101.207	1.8895	-95.267	4971.42	22.8147	5000	3.36286	0.0588705	3.489	52.3302	0.313992	52
9500	-107.735	1.85649	-101.653	4972.07	22.8041	4999.22	-94.3218	1.77991	-89.587	4972.21	22.7985	4999	3.36529	0.0760823	3.475	52.473	0.313845	52
10000	-100.349	1.78009	-96.7376	4972.26	22.8084	4998.39	-87.3985	1.68735	-81.8997	4972.74	22.8201	4999	3.42784	0.133365	3.481	52.654	0.314083	52
10500	-94.5227	1.69716	-89.1095	4973.19	22.8161	4999.26	-81.6019	1.62031	-77.1814	4974.01	22.857	4998	3.39684	0.103859	3.491	52.8317	0.312903	53
11000	-88.52	1.60939	-84.6628	4974.27	22.8589	4998.64	-76.2054	1.56204	-72.5236	4974.72	22.8714	4999	3.39676	0.0855417	3.489	52.9873	0.30962	53
11500	-84.0107	1.57828	-80.4032	4974.56	22.8616	4999.4	-71.5935	1.496	-67.6155	4974.92	22.8677	4999	3.39119	0.0989585	3.494	53.1397	0.308408	53
12000	-79.3495	1.52009	-74.9664	4974.84	22.8514	4999.93	-67.0357	1.43117	-63.0388	4974.93	22.8472	4999	3.35182	0.0790302	3.487	53.2508	0.307675	53
12500	-74.2878	1.43166	-70.987	4974.78	22.8515	4999.34	-62.8482	1.34648	-59.9189	4974.71	22.8339	4999	3.31176	0.040687	3.491	53.3175	0.3071	53
13000	-70.5126	1.36612	-67.3396	4975.63	22.8643	4999.62	-59.0955	1.28324	-56.5188	4975.43	22.847	4998	3.30583	0.0404498	3.501	53.4286	0.305993	53
13500	-67.0524	1.2793	-63.4436	4975.69	22.8508	4999.12	-55.4687	1.23131	-52.2205	4976.29	22.8497	5000	3.30404	0.0402299	3.509	53.5651	0.305303	53
14000	-63.4714	1.22855	-60.8001	4976.49	22.7813	5000.19	-52.2959	1.1644	-48.3259	4976.57	22.7441	5000	3.31006	0.0394909	3.491	53.6603	0.306051	54
14500	-60.9387	1.22966	-56.9896	4976.67	22.738	5000.66	-49.4815	1.1087	-45.5606	4976.92	22.7431	4999	3.30069	0.0386328	3.49	53.819	0.302263	54
15000	-57.6754	1.11356	-54.2853	4976.87	22.7309	5000.48	-46.6775	1.06267	-42.8479	4977.32	22.7274	5000	3.30057	0.0378668	3.486	53.9302	0.301757	54
15500	-55.5023	1.07784	-52.0032	4977.33	22.7934	4999.45	-44.1152	0.992655	-40.8732	4977.17	22.8327	4999	3.31514	0.0388027	3.474	54.0222	0.301797	54
16000	-52.738	1.02402	-50.1694	4977.53	22.8176	4999.86	-41.7278	0.947435	-38.7596	4977.57	22.8051	4999	3.31148	0.0457698	3.466	54.1683	0.302386	54
16500	-49.8336	0.959262	-47.0974	4977.29	22.7987	4999.19	-39.4326	0.893133	-36.0401	4977.51	22.8054	4999	3.30551	0.0463502	3.5	54.2762	0.302033	54
17000	-48.268	0.971076	-44.7761	4978.29	22.844	5000.01	-37.2765	0.837651	-34.107	4978.07	22.8054	5000	3.31261	0.0437903	3.482	54.3683	0.301301	54
17500	-46.182	0.900531	-44.4476	4978.59	22.8328	4998.8	-35.3105	0.792552	-32.2923	4978.87	22.8125	4999	3.31925	0.0405073	3.505	54.4921	0.301694	54
18000	-43.8054	0.832935	-41.2085	4979.71	22.7965	4998.4	-33.4928	0.756662	-30.5452	4980.07	22.7961	4999	3.31284	0.0390834	3.473	54.5492	0.302719	54
18500	-42.0841	0.803609	-38.475	4980.09	22.7827	4999.61	-31.9682	0.726701	-28.9479	4980.17	22.7735	5000	3.30671	0.0408686	3.479	54.6349	0.302201	54
19000	-41.0302	0.78745	-39.3448	4979.9	22.7991	4999.27	-30.5935	0.700215	-28.0938	4978.89	22.8451	5000	3.31763	0.0394783	3.511	54.6952	0.302732	54
19500	-39.4216	0.764043	-37.3377	4980.29	22.8133	4998.98	-29.2863	0.677526	-26.711	4980.35	22.8011	4999	3.32802	0.0381808	3.508	54.7714	0.303312	55
20000	-38.1319	0.747506	-36.2186	4980.36	22.8268	4999.73	-27.9691	0.650899	-25.5326	4980.19	22.8467	5000	3.34161	0.0385222	3.526	54.8254	0.302943	55
