#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0		-4007.01	-nan	-4007.01	20000	-nan	20000	-1105.06	-nan	-1105.06	20000	-nan	20000	0	-nan	0	57	-nan	57
1000		-1414.29	-nan	-1414.29	19957.9	-nan	19957.9	-726.285	-nan	-726.285	20000	-nan	20000	8.923	-nan	8.923	65	-nan	65
2000		-1189.03	-nan	-1189.03	19929.8	-nan	19929.8	-623.717	-nan	-623.717	19993	-nan	19993	28.557	-nan	28.557	61	-nan	61
3000		-1120.73	-nan	-1120.73	19800.5	-nan	19800.5	-574.68	-nan	-574.68	20455	-nan	20455	24.782	-nan	24.782	64	-nan	64
4000		-1012.05	-nan	-1012.05	19747.7	-nan	19747.7	-540.469	-nan	-540.469	20455	-nan	20455	23.279	-nan	23.279	64	-nan	64
5000		-955.95	-nan	-955.95	20064.9	-nan	20064.9	-498.326	-nan	-498.326	20457	-nan	20457	16.397	-nan	16.397	63	-nan	63
6000		-862.835	-nan	-862.835	20469.5	-nan	20469.5	-479.183	-nan	-479.183	20541	-nan	20541	7.336	-nan	7.336	62	-nan	62
7000		-851.818	-nan	-851.818	20508.2	-nan	20508.2	-473.718	-nan	-473.718	20420	-nan	20420	16.133	-nan	16.133	61	-nan	61
8000		-838.063	-nan	-838.063	20581	-nan	20581	-455.828	-nan	-455.828	20371	-nan	20371	21.52	-nan	21.52	61	-nan	61
9000		-808.373	-nan	-808.373	20453.6	-nan	20453.6	-428.493	-nan	-428.493	20447	-nan	20447	8.877	-nan	8.877	62	-nan	62
10000		-763.042	-nan	-763.042	20487.3	-nan	20487.3	-417.664	-nan	-417.664	20360	-nan	20360	10.125	-nan	10.125	62	-nan	62
11000		-692.328	-nan	-692.328	20481.8	-nan	20481.8	-409.051	-nan	-409.051	20405	-nan	20405	10.309	-nan	10.309	61	-nan	61
12000		-697.373	-nan	-697.373	20277.7	-nan	20277.7	-399.829	-nan	-399.829	20436	-nan	20436	14.011	-nan	14.011	62	-nan	62
13000		-658.963	-nan	-658.963	20430.2	-nan	20430.2	-385.483	-nan	-385.483	20690	-nan	20690	10.32	-nan	10.32	63	-nan	63
14000		-703.671	-nan	-703.671	20422.4	-nan	20422.4	-381.164	-nan	-381.164	20226	-nan	20226	10.054	-nan	10.054	60	-nan	60
15000		-689.948	-nan	-689.948	20514.4	-nan	20514.4	-381.164	-nan	-381.164	20223	-nan	20223	9.925	-nan	9.925	60	-nan	60
16000		-631.042	-nan	-631.042	20444.5	-nan	20444.5	-378.528	-nan	-378.528	20622	-nan	20622	13.869	-nan	13.869	63	-nan	63
17000		-720.078	-nan	-720.078	20648.2	-nan	20648.2	-377.447	-nan	-377.447	20396	-nan	20396	17.35	-nan	17.35	63	-nan	63
18000		-675.519	-nan	-675.519	21096.9	-nan	21096.9	-376.311	-nan	-376.311	20459	-nan	20459	154.323	-nan	154.323	62	-nan	62
19000		-684.17	-nan	-684.17	20672.4	-nan	20672.4	-373.488	-nan	-373.488	20628	-nan	20628	105.885	-nan	105.885	63	-nan	63
20000		-629.108	-nan	-629.108	20519.2	-nan	20519.2	-370.663	-nan	-370.663	20449	-nan	20449	8.973	-nan	8.973	62	-nan	62
21000		-657.822	-nan	-657.822	20527.4	-nan	20527.4	-368.249	-nan	-368.249	20487	-nan	20487	10.698	-nan	10.698	63	-nan	63
22000		-707.923	-nan	-707.923	20531.2	-nan	20531.2	-367.063	-nan	-367.063	21081	-nan	21081	10.397	-nan	10.397	63	-nan	63
23000		-642.305	-nan	-642.305	20517.3	-nan	20517.3	-365.666	-nan	-365.666	20617	-nan	20617	8.994	-nan	8.994	62	-nan	62
24000		-635.399	-nan	-635.399	20503.4	-nan	20503.4	-361.708	-nan	-361.708	20665	-nan	20665	18.57	-nan	18.57	63	-nan	63
25000		-604.593	-nan	-604.593	20625.6	-nan	20625.6	-361.697	-nan	-361.697	20735	-nan	20735	13.338	-nan	13.338	63	-nan	63
26000		-673.331	-nan	-673.331	20701.9	-nan	20701.9	-361.697	-nan	-361.697	20742	-nan	20742	26.488	-nan	26.488	63	-nan	63
27000		-655.5	-nan	-655.5	20716.8	-nan	20716.8	-361.27	-nan	-361.27	20687	-nan	20687	25.697	-nan	25.697	64	-nan	64
28000		-620.515	-nan	-620.515	20706.4	-nan	20706.4	-359.034	-nan	-359.034	21462	-nan	21462	79.68	-nan	79.68	64	-nan	64
29000		-638.843	-nan	-638.843	20780.8	-nan	20780.8	-357.535	-nan	-357.535	20721	-nan	20721	148.432	-nan	148.432	67	-nan	67
30000		-633.286	-nan	-633.286	20881.8	-nan	20881.8	-346.115	-nan	-346.115	20709	-nan	20709	98.743	-nan	98.743	68	-nan	68
31000		-734.687	-nan	-734.687	20956.4	-nan	20956.4	-344.283	-nan	-344.283	21570	-nan	21570	46.931	-nan	46.931	72	-nan	72
32000		-697.543	-nan	-697.543	20972.7	-nan	20972.7	-337.775	-nan	-337.775	20713	-nan	20713	19.105	-nan	19.105	68	-nan	68
33000		-720.971	-nan	-720.971	20800.3	-nan	20800.3	-326.737	-nan	-326.737	20696	-nan	20696	40.746	-nan	40.746	67	-nan	67
34000		-646.082	-nan	-646.082	20689.9	-nan	20689.9	-320.994	-nan	-320.994	20752	-nan	20752	17.462	-nan	17.462	68	-nan	68
35000		-670.843	-nan	-670.843	20740.7	-nan	20740.7	-313.117	-nan	-313.117	20770	-nan	20770	71.34	-nan	71.34	68	-nan	68
36000		-651.668	-nan	-651.668	20810.7	-nan	20810.7	-303.288	-nan	-303.288	20791	-nan	20791	91.043	-nan	91.043	68	-nan	68
37000		-662.325	-nan	-662.325	21159.3	-nan	21159.3	-290.859	-nan	-290.859	21006	-nan	21006	74.029	-nan	74.029	71	-nan	71
38000		-648.98	-nan	-648.98	21155.1	-nan	21155.1	-280.19	-nan	-280.19	21038	-nan	21038	17.63	-nan	17.63	70	-nan	70
39000		-624.27	-nan	-624.27	21057	-nan	21057	-278.832	-nan	-278.832	22260	-nan	22260	21.503	-nan	21.503	75	-nan	75
40000		-634.586	-nan	-634.586	21331.3	-nan	21331.3	-275.794	-nan	-275.794	22036	-nan	22036	40.869	-nan	40.869	74	-nan	74
41000		-615.995	-nan	-615.995	21945.1	-nan	21945.1	-275.17	-nan	-275.17	21918	-nan	21918	14.039	-nan	14.039	74	-nan	74
42000		-587.034	-nan	-587.034	21964.3	-nan	21964.3	-275.17	-nan	-275.17	21918	-nan	21918	19.362	-nan	19.362	74	-nan	74
43000		-642.907	-nan	-642.907	22112.3	-nan	22112.3	-274.404	-nan	-274.404	22450	-nan	22450	16.169	-nan	16.169	76	-nan	76
44000		-641.272	-nan	-641.272	22330.5	-nan	22330.5	-274.404	-nan	-274.404	22765	-nan	22765	29.978	-nan	29.978	76	-nan	76
45000		-634.183	-nan	-634.183	22434.6	-nan	22434.6	-263.949	-nan	-263.949	22415	-nan	22415	42.262	-nan	42.262	75	-nan	75
46000		-669.733	-nan	-669.733	22411.4	-nan	22411.4	-263.229	-nan	-263.229	22641	-nan	22641	35.108	-nan	35.108	76	-nan	76
47000		-710.506	-nan	-710.506	22411.6	-nan	22411.6	-263.229	-nan	-263.229	22653	-nan	22653	51.263	-nan	51.263	76	-nan	76
48000		-575.542	-nan	-575.542	22082	-nan	22082	-262.433	-nan	-262.433	22338	-nan	22338	23.527	-nan	23.527	75	-nan	75
49000		-643.413	-nan	-643.413	22384.4	-nan	22384.4	-261.026	-nan	-261.026	22622	-nan	22622	19.468	-nan	19.468	75	-nan	75
50000		-608.401	-nan	-608.401	22411.9	-nan	22411.9	-260.877	-nan	-260.877	22676	-nan	22676	21.086	-nan	21.086	76	-nan	76
51000		-596.739	-nan	-596.739	22315.7	-nan	22315.7	-258.887	-nan	-258.887	22205	-nan	22205	18.87	-nan	18.87	76	-nan	76
52000		-713.609	-nan	-713.609	22296.4	-nan	22296.4	-255.33	-nan	-255.33	22265	-nan	22265	49.435	-nan	49.435	76	-nan	76
53000		-626.195	-nan	-626.195	22345	-nan	22345	-252.168	-nan	-252.168	22312	-nan	22312	36.754	-nan	36.754	75	-nan	75
54000		-570.957	-nan	-570.957	22461	-nan	22461	-252.101	-nan	-252.101	22777	-nan	22777	18.06	-nan	18.06	75	-nan	75
