#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3113.45	113.689	-2399.55	5000	0	5000	-1968.49	79.9469	-1462.93	5000	0	5000	0	0	0	49.62	0.220421	50
500	-1012.56	27.8995	-861.426	4988.82	8.00098	4999.88	-677.034	13.8518	-627.792	4988.54	8.3215	5000	0.0846025	0.000178615	0.085	49.245	0.232454	49
1000	-600.612	5.18381	-583.972	4980.26	10.7666	4999.61	-488.539	3.91829	-481.938	4977.06	13.313	5000	0.0847475	0.000188974	0.085	49.0125	0.247531	49
1500	-491.817	3.35883	-485.309	4975.83	13.2987	4999.77	-410.434	3.11963	-408.569	4977.14	13.3004	5000	0.08445	0.000231414	0.085	49.125	0.260419	49
2000	-431.158	2.92256	-429.255	4976.01	13.311	5000.15	-360.253	2.78102	-356.474	4976	13.3382	5000	0.0842075	0.000239645	0.084	49.295	0.256534	49
2500	-387.24	2.68769	-385.702	4974.98	13.3258	4999.66	-322.939	2.60716	-321.601	4974.2	13.3339	5000	0.0843925	0.000231311	0.085	49.465	0.259355	50
3000	-351.413	2.56694	-347.118	4975.12	13.3149	4999.71	-291.831	2.4825	-287.905	4974.02	13.342	4999	0.0843775	0.000240353	0.085	49.835	0.258552	50
3500	-321.93	2.43941	-320.857	4974.92	13.326	4999.34	-264.938	2.34638	-262.634	4975.23	13.3846	4999	0.084215	0.000244636	0.084	50.12	0.260473	50
4000	-298.021	2.32673	-295.689	4976.36	13.3803	4999.59	-241.577	2.24881	-238.062	4988.17	17.5038	5000	0.0842025	0.000247881	0.084	50.4125	0.289617	50
4500	-274.805	2.23341	-272.915	4985.91	16.5122	5000.44	-221.482	2.12428	-219.536	4990.23	17.6781	5000	0.084455	0.000250303	0.085	50.7525	0.289915	51
5000	-256.226	2.12549	-253.679	4987.59	17.4888	5000.21	-204.323	2.0232	-201.502	4987.43	17.5081	5000	0.0842425	0.000277605	0.084	50.905	0.286676	51
5500	-239.267	2.0145	-236.698	4989.4	17.5589	5000.27	-188.301	1.91143	-185.489	4991.32	17.6882	5000	0.0841975	0.000274563	0.084	51.2475	0.281471	51
6000	-224.331	1.97497	-221.898	4990.7	17.6623	5000.78	-173.735	1.83276	-171.064	4990.67	17.6927	5000	0.0840125	0.000284994	0.084	51.41	0.282696	51
6500	-209.663	1.89189	-206.568	4990.64	17.705	5000.85	-161.103	1.73681	-159.011	4991.44	17.7163	5001	0.0840775	0.00028265	0.084	51.5375	0.283986	52
7000	-198.212	1.76272	-197.957	4991.96	17.7567	5000.38	-149.873	1.65837	-148.522	4993.2	17.9045	5000.5	0.08402	0.000280617	0.084	51.78	0.285408	52
7500	-186.162	1.75194	-185.507	4994.67	17.8857	5000.8	-138.773	1.5789	-138.071	4995.58	17.8707	5001	0.0841175	0.000289796	0.084	52.0375	0.284482	52
8000	-175.759	1.62581	-173.234	4995.54	17.8731	5000.6	-129.19	1.50238	-128.386	4996.04	17.8778	5000	0.0841475	0.000300316	0.084	52.235	0.286189	52
8500	-167.506	1.60042	-165.198	4996.06	17.8624	5001.38	-120.654	1.44621	-118.433	4996.88	17.8842	5004	0.084115	0.000301341	0.084	52.38	0.282269	52
9000	-158.462	1.55086	-157.748	4996.2	17.8786	5001.81	-112.666	1.39104	-110.453	4997.13	17.8806	5003	0.08391	0.000288227	0.084	52.52	0.282664	53
9500	-150.845	1.47467	-149.469	4997.17	17.8896	5003.07	-105.033	1.34441	-102.874	4996.8	17.8911	5002	0.084275	0.000291394	0.084	52.7375	0.278236	53
10000	-143.997	1.45903	-143.168	4997.12	17.8851	5001.83	-98.0118	1.27575	-95.4186	4996.7	17.8945	5003	0.0838525	0.000300566	0.084	52.9025	0.277398	53
10500	-136.852	1.40432	-136.724	4996.58	17.8939	5002.27	-91.7655	1.21198	-89.1803	4997.97	17.9136	5003.5	0.0839925	0.000280853	0.084	53.11	0.27672	53
11000	-130.536	1.36801	-130.147	4997.2	17.9003	5001.97	-85.9531	1.15812	-83.7107	4996.86	17.9089	5002.5	0.08373	0.00029205	0.084	53.2375	0.276281	53
11500	-125.154	1.28464	-124.169	4996.78	17.9083	5002.43	-80.6513	1.09505	-78.6907	4996.88	17.9161	5003	0.08371	0.000290389	0.084	53.3525	0.278279	53
12000	-119.147	1.21321	-118.148	4997.39	17.9034	5003.01	-75.3906	1.04542	-72.3462	4997.51	17.9155	5003	0.083645	0.000284429	0.084	53.4875	0.276456	53
12500	-114.502	1.15341	-112.557	4997.56	17.9143	5004.15	-70.8509	0.993077	-68.3965	4997.48	17.963	5003.5	0.08374	0.000313831	0.084	53.6825	0.271894	54
13000	-110.14	1.15993	-108.479	4997.76	17.93	5003.9	-66.668	0.93665	-64.121	4997.76	17.9303	5004	0.0837175	0.000290418	0.083	53.8225	0.271799	54
13500	-106.128	1.14497	-104.955	4997.9	17.9324	5003	-62.7804	0.883533	-61.4056	4997.85	17.9215	5003	0.0840675	0.000304675	0.084	53.91	0.270301	54
14000	-101.601	1.06365	-100.256	4998.15	17.9247	5003.07	-59.3708	0.844493	-57.3045	4999	17.9532	5003	0.0837325	0.000296622	0.084	54.055	0.270092	54
14500	-98.6384	1.00173	-97.12	4999.25	17.934	5003.68	-55.8388	0.799331	-54.3614	4999.12	17.9331	5003	0.08361	0.000295594	0.083	54.18	0.269189	54
15000	-95.3379	0.997754	-93.5465	4999.37	17.9523	5004.01	-52.9396	0.759413	-51.8753	5000.97	17.9792	5004	0.08356	0.000294675	0.083	54.2925	0.27044	54
15500	-91.7497	0.971196	-90.9462	5000.43	17.9502	5004.07	-50.0003	0.715209	-48.4435	5001.22	17.9723	5004	0.083665	0.000292482	0.084	54.405	0.270227	54
16000	-89.1708	0.936748	-88.5206	5001.06	17.9766	5003.24	-47.2766	0.672662	-45.758	5001.11	17.9921	5003.5	0.0836625	0.000291154	0.083	54.4925	0.270477	54
16500	-85.9114	0.902368	-85.0852	5001.11	17.9688	5003.24	-44.8246	0.645267	-43.7314	5001.14	17.985	5004	0.0836	0.000286955	0.083	54.52	0.268756	55
17000	-83.8346	0.878339	-82.462	5001.12	17.978	5003.44	-42.5517	0.619697	-41.6237	5001.49	17.9846	5004.5	0.0835575	0.000279665	0.0835	54.565	0.269808	54.5
17500	-82.0618	0.85904	-81.0775	5001.3	17.9818	5004.34	-40.3951	0.590307	-39.6895	5001.86	17.9887	5006	0.0836775	0.00028684	0.084	54.6175	0.271269	55
18000	-81.3527	0.871945	-79.8506	5001.69	17.99	5005.9	-38.3842	0.566864	-37.5208	5002.31	18.002	5004.5	0.0834225	0.000295535	0.083	54.72	0.270276	55
18500	-77.9018	0.796274	-76.729	5001.88	17.9898	5004.82	-36.5311	0.542458	-35.8361	5001.86	18.0084	5005	0.0834275	0.000278623	0.083	54.795	0.271739	55
19000	-76.1306	0.812189	-75.1592	5001.95	18	5006.29	-34.8153	0.522573	-33.7426	5002.39	18.0102	5005	0.083505	0.00029339	0.083	54.875	0.27285	55
19500	-74.1197	0.785181	-73.2984	5002.4	18.0011	5006.01	-33.2837	0.50774	-32.032	5002.31	18.0003	5005.5	0.083415	0.000302921	0.083	54.925	0.275387	55
20000	-72.1749	0.76776	-71.6731	5002.37	18.006	5005.78	-31.7605	0.487737	-30.8103	5002.75	18.0079	5007	0.08356	0.000279125	0.0835	54.935	0.272282	55
