#mutrate	time_hb	sd_t_hb	time_heur	sd_t_heur	time_syn	sd_t_syn	sc_hb	sd_sc_hb	sc_heur	sd_sc_heur	sc_syn	sd_sc_syn	sc2_hb	sd_sc2_hb	sc2_heur	sd_sc2_heur	sc2_syn	sd_sc2_syn
0	0.97663	0.00123474	0.06252	0.0168422	0.03422	0.000367239	7175.85	302.767	6859.37	368.188	6717.17	394.484	9290.98	108.438	9368.13	80.9389	9361.38	86.0107
0.02	0.97997	0.000610589	0.0571	0.0166395	0.02757	0.000245466	6704.61	216.071	6499.76	255.663	6088.7	354.322	9595.85	58.4831	9570.74	63.7864	9517.34	76.3994
0.04	0.97938	0.00051223	0.10203	0.0246501	0.02885	0.000307606	4704.13	289.852	4233.31	362.577	2338.24	684.325	9309.58	106.977	9255.69	110.945	8936.93	155.163
0.06	0.98214	0.000538802	0.10353	0.0260408	0.03026	0.000250503	3899.3	287.603	3637.29	352.728	1709.61	395.902	9464.97	101.954	9451.16	107.983	8987.56	111.031
0.08	0.98065	0.000608588	0.05686	0.0163378	0.03074	0.000243966	2831.98	223.21	2550.94	260.96	-561.7	282.831	9487.03	76.0709	9486.5	71.5442	8659.25	67.0507
0.1	0.98282	0.00176254	0.08859	0.0228041	0.0311	0.000221337	1356.79	266.186	1009.47	327.705	-4014.86	316.403	9314.69	124.05	9336.35	103.684	7874.73	92.7916
0.12	0.98093	0.000513702	0.06797	0.018912	0.03181	0.00024441	865.99	204.808	596.04	247.807	-6335.7	284.248	9509.94	96.5256	9492.77	95.9928	7383.33	68.7509
0.14	0.98736	0.00227265	0.0807	0.0209553	0.03258	0.000294454	-271.62	174.19	-866.79	286.087	-10180.5	359.555	9447.92	93.2645	9410.1	90.2048	6376.39	89.9557
0.16	0.99189	0.00331635	0.06455	0.0176137	0.03242	0.000344122	-1323.44	146.413	-1898.94	262.647	-13152.1	275.206	9416.11	80.269	9340.47	87.6307	5549.3	69.8074
0.18	0.98225	0.000609583	0.12843	0.0285997	0.03198	0.000263994	-2763.94	224.412	-3240.05	289.373	-16662.9	287.377	9181.51	115.694	9155.19	105.489	4571.41	67.0154
0.2	0.9821	0.000503222	0.1147	0.0251628	0.03157	0.000243814	-3328.11	167.935	-3877.52	269.922	-19509	280.342	9380.75	82.7132	9310.68	90.1047	3703.42	67.4088
0.22	0.98266	0.000403074	0.09894	0.0229245	0.03108	0.000239393	-4192.4	164.185	-4777.14	273.735	-22416.4	275.575	9210.99	124.572	9199.6	112.533	2870.6	62.1292
0.24	0.98261	0.000481768	0.13453	0.0285759	0.03007	0.000280784	-4798.34	122.166	-5737.5	279.969	-24976.9	282.971	9384.67	82.8641	9156.37	108.838	2154.87	60.6721
0.26	0.98141	0.000504344	0.17444	0.0311006	0.02981	0.000307711	-5890.27	150.621	-6968.09	287.482	-27025.1	272.469	9077.14	136.785	8873.73	137.783	1584.36	51.8102
0.28	0.98116	0.000393051	0.26615	0.0381291	0.02865	0.000248785	-6601.4	126.212	-8161.69	332.692	-28874.6	254.128	9149.82	106.376	8721.11	127.175	1105.47	44.4667
0.3	0.98284	0.000514972	0.20169	0.0333648	0.02741	0.000278921	-7133.1	102.082	-9771.3	436.272	-30494.4	248.679	9145.79	89.2959	8344.75	158.167	747.98	36.7493
