#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3145.51	112.736	-1639.11	5000	0	5000	-1948.84	76.212	-1169.21	5000	0	5000	0	0	0	49.3875	0.222186	45.5
500	-1013.25	27.9142	-912.892	4977.78	14.7157	5001.01	-677.39	13.1376	-694.026	4976.31	15.1831	5001.5	0.535495	0.00706663	0.5535	48.87	0.268632	46
1000	-602.924	5.41445	-606.549	4977.16	15.159	5000.48	-484.836	3.88677	-457.191	4976.15	15.1702	5000.5	0.527058	0.00701854	0.4885	48.8825	0.268984	48
1500	-488.653	3.31008	-447.476	4975.85	15.1747	4999.44	-407.174	2.91893	-383.099	4977.33	15.1975	4991	0.525845	0.00700108	0.459	48.91	0.267129	47
2000	-424.779	2.76409	-391.775	4976.61	15.1931	5001.69	-356.76	2.58999	-335.349	4976.47	15.241	5000.5	0.542828	0.00682247	0.6505	49.0125	0.266944	44.5
2500	-379.849	2.54527	-358.394	4976.02	15.2392	5000.58	-317.171	2.44787	-297.696	4976.16	15.2473	5001	0.532103	0.00670504	0.4945	49.3575	0.262839	46
3000	-343.481	2.45501	-324.313	4976.33	15.2439	5000.91	-284.285	2.31095	-271.425	4976.47	15.244	5002	0.524255	0.00676633	0.524	49.57	0.261599	45.5
3500	-313.281	2.2856	-305.812	4976.55	15.2491	5002.01	-257.637	2.26132	-261.138	4977.42	15.2751	5014	0.525758	0.006872	0.583	49.9225	0.259947	46
4000	-287.48	2.25377	-300.928	4977.37	15.2684	5000.81	-233.344	2.22017	-242.062	4978.05	15.286	5004.5	0.526785	0.00687407	0.545	50.175	0.258826	45
4500	-264.437	2.22625	-271.623	4979.15	15.2879	5000.84	-212.274	2.17454	-225.025	4979.28	15.3075	4993.5	0.520685	0.0069484	0.548	50.46	0.259378	45
5000	-244.54	2.18086	-246.903	4979.41	15.3038	5000.09	-194.08	2.0979	-210.582	4980.1	15.319	5000.5	0.530658	0.00715858	0.4995	50.705	0.257728	45.5
5500	-226.562	2.09372	-239.813	4980.47	15.3161	5003.81	-177.91	2.04015	-195.598	4980.5	15.3299	5007	0.526172	0.00693294	0.6305	51.095	0.260186	46.5
6000	-210.495	2.11956	-234.642	4980.72	15.3258	5013.6	-162.461	1.94834	-184.353	4982.98	15.4722	4996.5	0.525275	0.00679171	0.5725	51.35	0.258647	46.5
6500	-196.02	1.98958	-217.505	4983.55	15.4613	5063.59	-149.569	1.90796	-173.531	4983.52	15.4903	5074.5	0.523092	0.00677783	0.5915	51.565	0.261602	46.5
7000	-184.114	1.92665	-208.323	4984.1	15.4911	5059.15	-137.743	1.8244	-160.154	4983.16	15.4951	4968.5	0.526523	0.00675319	0.5135	51.765	0.262052	46.5
