#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3086.28	10.1107	-3069.99	5000	0	5000	-734.139	5.08979	-727.731	5000	0	5000	0	0	0	48.5475	0.219722	49
500	-739.905	5.11789	-740.725	4253.74	44.9927	4481.93	-492.735	2.55745	-498.58	4151.55	71.6765	4580	2.43561	0.0209515	2.518	39.89	0.736232	43
1000	-499.785	3.45972	-490.074	4087.36	65.0137	4358.69	-407.514	2.50167	-408.322	4148.74	69.7741	4509	2.25094	0.044326	2.2985	39.9	0.714932	43
1500	-410.433	2.69123	-410.248	4148.06	68.5916	4512.15	-352.565	2.74001	-353.193	4168.63	69.3092	4514	2.27622	0.0509012	2.4085	40.24	0.702372	43
2000	-355.611	2.71642	-356.911	4164.99	69.331	4521.03	-311.046	2.85095	-308.058	4173.33	69.5189	4530.5	2.30411	0.0528352	2.4355	40.7275	0.70556	43
2500	-316.048	2.71051	-312.495	4173.26	69.5303	4539.15	-277.845	2.84708	-270.735	4174.04	69.5597	4531.5	2.31457	0.0532537	2.396	41.04	0.700731	43
3000	-284.455	2.70415	-281.244	4176.01	69.6228	4539.29	-248.526	2.8424	-243.526	4176.58	69.6296	4540	2.31439	0.0530001	2.4765	41.42	0.703097	44
3500	-256.43	2.68786	-252.409	4177.03	69.5873	4540.35	-224.148	2.83594	-216.003	4191.36	70.5147	4538.5	2.3111	0.0533151	2.4625	42.0125	0.712285	44
4000	-233.359	2.62248	-225.605	4185.38	69.809	4541.18	-202.801	2.80577	-196.18	4192.19	70.5131	4542.5	2.31366	0.0528225	2.4445	42.3825	0.71105	45
4500	-213.669	2.62537	-207.255	4192.3	70.522	4542.65	-184.749	2.72633	-176.753	4193.21	70.5057	4544	2.32119	0.0538067	2.4715	42.745	0.71073	45
5000	-195.906	2.55	-188.157	4193.41	70.5208	4540.77	-167.003	2.64643	-156.815	4195.06	70.5257	4544.5	2.33321	0.0547817	2.4515	43.015	0.710122	45
5500	-178.841	2.52458	-170.279	4199.12	70.7794	4542.58	-151.718	2.62433	-141.728	4207.56	71.8705	4541.5	2.33879	0.0552583	2.472	43.4275	0.72216	45
6000	-164.663	2.47934	-155.504	4207.71	71.8303	4533.86	-138.008	2.57702	-125.716	4208.24	71.8334	4539.5	2.33525	0.0561443	2.445	43.7125	0.724396	46
6500	-151.216	2.44616	-140.936	4208.45	71.8226	4538.95	-125.871	2.52356	-113.472	4208.72	71.8134	4536	2.34394	0.0560591	2.437	44.0025	0.723232	46
7000	-139.928	2.37687	-130.751	4209.22	71.7865	4537.8	-115.17	2.46168	-103.16	4210.8	71.7974	4535.5	2.35863	0.0577596	2.44	44.27	0.719261	46
7500	-129.197	2.32708	-119.559	4210.46	71.7796	4542.16	-105.404	2.41741	-94.3396	4211.24	71.7264	4544	2.35151	0.0567631	2.4185	44.4675	0.72103	47
8000	-119.356	2.28233	-109.698	4212.57	71.7479	4542.69	-96.6527	2.35265	-86.8451	4214.85	71.7909	4567.5	2.34927	0.0571627	2.47	44.7	0.721215	47
8500	-111.592	2.2066	-102.478	4214.76	71.7779	4567.38	-88.932	2.29764	-79.9303	4215.3	71.7743	4565.5	2.3422	0.0561763	2.4205	44.8725	0.719068	47
9000	-104.343	2.178	-96.0216	4215.83	71.7721	4562.72	-81.7455	2.25125	-71.7104	4216.57	71.7747	4572	2.35223	0.057343	2.411	45.1175	0.715981	47
9500	-96.9191	2.11717	-87.5337	4216.09	71.7553	4564.53	-75.4217	2.19384	-64.9395	4217.19	71.7473	4574.5	2.34634	0.0572087	2.431	45.315	0.716535	47
10000	-91.0522	2.0825	-82.9075	4216.8	71.727	4565.51	-69.9391	2.13017	-60.0595	4217.27	71.7082	4567	2.36676	0.0574152	2.4125	45.4475	0.716765	48
10500	-86.1808	2.01783	-77.804	4217.38	71.7086	4567.14	-64.5609	2.07818	-54.5425	4217.89	71.7027	4570	2.34633	0.0574105	2.36	45.635	0.718955	48
11000	-80.0289	1.96489	-72.1194	4218.22	71.7096	4566.93	-60.0083	2.03849	-50.0746	4218.62	71.7437	4567.5	2.35532	0.0575519	2.4325	45.78	0.718205	48
11500	-75.7685	1.9413	-68.1012	4218.53	71.7152	4565.35	-55.7775	1.98413	-45.8846	4218.75	71.7204	4565	2.35105	0.0567986	2.4285	45.88	0.718735	48
12000	-72.2326	1.87575	-65.007	4218.47	71.7095	4564.55	-52.3045	1.93252	-43.009	4218.15	71.7182	4569.5	2.34855	0.0563555	2.4215	46.035	0.718732	49
12500	-68.8884	1.81718	-61.6635	4218.78	71.7197	4568.27	-49.0479	1.88652	-39.8773	4218.89	71.7203	4566.5	2.36075	0.0575798	2.4005	46.1675	0.717337	48.5
13000	-65.8353	1.81606	-59.371	4219.44	71.7078	4568.31	-46.1134	1.86853	-37.7756	4219.55	71.7424	4566	2.37842	0.0586223	2.4335	46.2375	0.717628	49
13500	-62.6277	1.76109	-55.7991	4219.92	71.7167	4567.36	-43.4728	1.84161	-35.3375	4219.68	71.7107	4568	2.3491	0.0570738	2.4235	46.3675	0.7188	49
14000	-60.2731	1.72317	-54.5354	4220.56	71.6478	4565.91	-40.7278	1.75402	-32.9842	4220.03	71.638	4558.5	2.33994	0.0564994	2.395	46.4925	0.716508	49
14500	-58.099	1.65252	-51.5813	4220.73	71.6369	4565.17	-38.3292	1.69346	-30.4074	4220.52	71.6094	4557	2.35464	0.0579571	2.425	46.56	0.715635	49
15000	-55.0474	1.60927	-48.8682	4220.91	71.5973	4566.19	-36.1958	1.63727	-28.8722	4220.69	71.5836	4556	2.35336	0.0569085	2.397	46.625	0.71336	49
15500	-52.6791	1.5572	-47.282	4220.88	71.59	4566.61	-34.4028	1.61645	-27.0765	4220.81	71.5681	4562	2.35809	0.0562611	2.433	46.74	0.715129	49
16000	-51.5715	1.55627	-45.4971	4221.33	71.5849	4565.81	-32.5821	1.58489	-25.7136	4221.26	71.5756	4556	2.35372	0.0566023	2.446	46.7975	0.714093	49
16500	-50.1254	1.52408	-44.5161	4221.17	71.5907	4564.34	-31.023	1.56773	-24.4279	4221.7	71.5988	4564.5	2.35659	0.0566782	2.383	46.8625	0.71612	49
17000	-48.16	1.50723	-42.2223	4221.47	71.5895	4565.52	-29.5631	1.54291	-23.3264	4221.94	71.5921	4567.5	2.37447	0.0578428	2.448	46.9575	0.714425	50
17500	-47.1555	1.48238	-41.6048	4221.74	71.5954	4567.53	-28.2202	1.51435	-21.9211	4222.24	71.5419	4562	2.37779	0.0594965	2.389	47.0525	0.715781	50
18000	-46.2764	1.4737	-41.0955	4222.35	71.5447	4566.45	-26.9969	1.49152	-20.7141	4222.3	71.5483	4563	2.39808	0.0593174	2.417	47.115	0.714663	50
18500	-44.1649	1.42728	-38.4179	4222.47	71.5443	4568.61	-25.8809	1.47363	-19.8394	4222.48	71.5633	4566	2.39126	0.0596389	2.4545	47.2025	0.714996	50
19000	-43.0407	1.3831	-38.199	4222.84	71.5439	4568.14	-24.714	1.43318	-18.793	4222.78	71.5534	4570	2.3927	0.0590827	2.486	47.2925	0.716048	50
19500	-41.2826	1.38373	-35.8629	4222.46	71.5489	4567.77	-23.7695	1.42078	-17.6952	4223.15	71.5599	4567.5	2.3974	0.0592087	2.4225	47.325	0.715281	50
