#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3088.87	10.5764	-3084.74	5000	0	5000	-742.443	5.07357	-737.265	5000	0	5000	0	0	0	48.7225	0.231485	49
500	-634.969	3.43133	-637	4997.9	1.19699	4999.88	-494.605	3.18559	-493.911	4997.57	1.23299	5000	0.086875	0.000260443	0.087	48.385	0.228303	48.5
1000	-489.932	2.67361	-491.647	4999.03	1.38574	4999.91	-408.204	2.58227	-413.95	4999.66	1.57341	5000	0.0868275	0.000282301	0.086	48.62	0.218508	49
1500	-424.588	2.4634	-428.632	4999.32	1.58737	5000.18	-354.872	2.4327	-357.614	4997.74	1.73693	5000	0.08648	0.000257808	0.086	48.84	0.221039	49
2000	-379.198	2.43665	-381.95	4999.17	1.71121	4999.78	-316.669	2.33292	-315.868	4998.59	1.87317	5000	0.086905	0.000222854	0.087	49.11	0.221285	49
2500	-343.85	2.24861	-345.373	4999.2	1.76678	5000.09	-285.762	2.23836	-286.876	4999.44	1.91814	4999	0.0860175	0.000216588	0.086	49.46	0.220693	49
3000	-315.983	2.18165	-315.811	4998.89	1.83373	4999.66	-259.677	2.09077	-257.794	4998.96	1.89606	4999	0.0862725	0.000217489	0.086	49.77	0.21777	50
3500	-291.155	2.15084	-290.836	4999.01	1.86671	4999.21	-237.127	2.04717	-238.771	4999.82	1.9719	4999	0.086025	0.000219303	0.086	50.0275	0.219944	50
4000	-270.008	2.03341	-269.004	5000.04	1.95729	4999.07	-217.6	1.94629	-219.704	5000.8	2.12958	5000	0.0860075	0.000203155	0.086	50.385	0.216151	50
4500	-251.165	2.00569	-251.061	5001.37	2.12328	4999.7	-199.557	1.88051	-200.127	4999.9	2.25242	5000	0.08627	0.000220856	0.086	50.565	0.213021	50
