#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3117.94	10.2299	-3096.31	5000	0	5000	-736.583	5.24936	-733.64	5000	0	5000	0	0	0	48.78	0.226234	49
500	-633.597	3.1989	-634.558	4998.8	1.12981	4999.74	-495.536	2.85104	-491.156	4997.51	2.47524	5000	0.086565	0.000190473	0.0865	48.61	0.22577	48
1000	-495.306	2.6526	-493.436	4997.35	2.11917	4999.91	-411.2	2.54399	-409.046	4996.08	2.60824	5000	0.086425	0.00020034	0.086	48.6475	0.228804	49
1500	-428.659	2.4778	-428.178	4997.65	2.58127	4999.91	-357.612	2.4811	-357.555	4996.97	2.68824	5000	0.086355	0.000199868	0.086	48.8475	0.228783	49
2000	-380.713	2.39842	-381.462	4996.72	2.70823	4999.36	-317.968	2.32625	-315.95	4997.26	2.78221	5000	0.08616	0.000197569	0.086	48.9675	0.223391	49
2500	-345.69	2.30283	-344.916	4997.01	2.74903	4999.9	-287.39	2.19856	-287.227	4997.39	2.80996	5000	0.0861725	0.000196987	0.086	49.3475	0.221364	49
3000	-316.747	2.19041	-316.538	4996.78	2.78229	4999.95	-261.222	2.10646	-263.517	4997.31	2.80452	4999.5	0.0862625	0.000207887	0.086	49.62	0.219081	50
3500	-292.9	2.1751	-293.641	4997.66	2.82185	5000.16	-238.639	2.02171	-240.375	4997.74	2.85709	5000	0.086355	0.000202113	0.086	49.875	0.215149	50
4000	-272.302	2.0698	-273.022	4998.12	2.85422	4999.47	-218.697	1.93937	-221.082	4998.91	3.39199	5000	0.0861175	0.000192554	0.086	50.2275	0.220592	50
4500	-252.375	1.95568	-251.753	4999.63	3.26947	5000.34	-201.087	1.83983	-200.753	5002.11	3.60273	5000	0.086125	0.000180291	0.086	50.545	0.218034	51
5000	-236.302	1.89121	-236.408	5000.74	3.52951	5000.02	-186.11	1.75457	-185.539	5001.66	3.77779	5001	0.08607	0.000184113	0.086	50.6975	0.220707	51
5500	-220.855	1.78733	-221.232	5001.32	3.66137	5000.9	-171.773	1.68038	-169.531	5002.25	3.69753	5000.5	0.08622	0.00020355	0.086	51.0375	0.218052	51
6000	-207.857	1.75526	-206.563	5002.11	3.64657	5000.07	-158.704	1.57519	-157.114	5002.58	3.76538	4999	0.0856675	0.000177895	0.086	51.31	0.21847	51
6500	-194.705	1.67082	-194.186	5003	3.75189	5000.32	-146.763	1.51458	-145.646	5002.89	3.78247	4999.5	0.085765	0.000164521	0.086	51.4825	0.218216	52
7000	-182.271	1.6055	-180.27	5003.5	3.8113	5000.52	-136.299	1.45167	-134.244	5003.42	3.82214	5000.5	0.0857575	0.000176066	0.086	51.64	0.211868	52
7500	-173.359	1.52547	-172.455	5003.66	3.86366	5000.76	-127.037	1.40125	-125.105	5004.2	3.87082	5000.5	0.0854725	0.000185294	0.085	51.805	0.215048	52
8000	-163.797	1.48003	-161.734	5004.19	3.83872	5001.24	-118.052	1.33243	-115.903	5004.95	3.9471	5001	0.0857475	0.000168762	0.086	52.0225	0.212645	52
8500	-155.772	1.43617	-154.035	5004.78	3.92688	5001.32	-110.062	1.2737	-106.624	5005.69	4.04983	5001	0.08572	0.000208236	0.086	52.2525	0.210821	52
9000	-147.82	1.43872	-145.955	5004.54	4.00742	5000.76	-102.431	1.19941	-100.848	5005.41	4.0381	5001	0.0860125	0.000243164	0.086	52.4425	0.211224	53
9500	-140.388	1.307	-138.074	5005.09	4.02353	5001.14	-95.3934	1.15937	-94.573	5006.26	4.09194	5001	0.08547	0.000230745	0.085	52.58	0.209956	53
10000	-133.296	1.29294	-133.038	5005.89	4.06678	5001.84	-88.961	1.11054	-87.9697	5006.56	4.16192	5001.5	0.08571	0.00020416	0.086	52.7975	0.209705	53
10500	-127.51	1.28069	-124.949	5006.99	4.14528	5001.62	-82.8713	1.03815	-81.771	5006.83	4.11152	5002	0.0857275	0.000220237	0.085	52.965	0.210732	53
11000	-120.659	1.16533	-119.997	5007.19	4.21287	5002.23	-77.7175	0.98255	-76.9522	5006.93	4.23964	5002	0.08557	0.000214453	0.085	53.1175	0.210761	53
11500	-115.1	1.13518	-113.043	5007.07	4.23159	5001.38	-72.9443	0.947892	-71.8451	5007.35	4.24547	5002.5	0.0857575	0.000230199	0.086	53.28	0.211668	53
12000	-110.748	1.13189	-109.868	5007.32	4.23088	5002.18	-68.4212	0.905138	-67.6702	5008.29	4.27226	5003	0.0859475	0.000247594	0.086	53.3525	0.209835	53
12500	-106.402	1.06625	-103.951	5008.23	4.26109	5003.04	-64.4085	0.860641	-63.7764	5008.33	4.28178	5003	0.085685	0.000253006	0.085	53.4525	0.210756	53.5
13000	-101.366	1.05458	-100.331	5008.56	4.2719	5003.51	-60.4452	0.834398	-59.32	5008.14	4.30317	5003	0.0856825	0.000251271	0.085	53.565	0.211308	53.5
13500	-97.3064	1.00835	-95.0851	5008.63	4.28672	5003.58	-57.0414	0.794987	-55.9426	5008.52	4.33188	5004	0.0855475	0.000242392	0.085	53.715	0.20846	53.5
14000	-94.8045	0.986799	-92.2897	5008.64	4.31553	5003.45	-53.8384	0.773408	-52.1229	5008.59	4.32164	5002	0.08554	0.00025717	0.085	53.8175	0.207951	54
14500	-92.3065	0.990881	-89.7351	5008.63	4.33894	5003.34	-50.7723	0.737743	-48.567	5008.87	4.39212	5003.5	0.0854525	0.000232792	0.085	53.93	0.207262	54
15000	-89.2673	0.955514	-86.6878	5008.71	4.37687	5004.32	-48.1353	0.701673	-46.1934	5008.89	4.41891	5004	0.0855725	0.000237202	0.085	53.9975	0.205333	54
15500	-86.131	0.932233	-84.1225	5008.58	4.38802	5004.73	-45.7002	0.66795	-43.84	5008.18	4.38375	5003.5	0.0856025	0.00023765	0.085	54.0325	0.204929	54
16000	-83.6063	0.896782	-81.2712	5008.61	4.39982	5003.66	-43.2144	0.634075	-41.8705	5008.94	4.44203	5003	0.0854975	0.000226558	0.085	54.16	0.203444	54
16500	-81.2513	0.850916	-80.395	5008.68	4.41216	5002.74	-41.1636	0.614304	-39.7259	5008.56	4.46549	5003.5	0.0854975	0.000238783	0.085	54.1975	0.201986	54
17000	-79.9105	0.835769	-77.5156	5008.76	4.45476	5004.9	-39.0987	0.585459	-37.8571	5008.67	4.50353	5004	0.085405	0.000251616	0.085	54.28	0.203458	54
17500	-76.4586	0.770627	-75.7334	5008.77	4.501	5002.78	-37.1919	0.5641	-35.957	5009.25	4.50589	5005	0.08532	0.000228307	0.085	54.3525	0.202758	54
18000	-75.002	0.751812	-73.9999	5008.96	4.51444	5004.65	-35.512	0.546558	-34.3246	5009	4.53248	5003.5	0.085325	0.000229849	0.085	54.495	0.202243	54
18500	-73.5946	0.778832	-72.8867	5009.45	4.51237	5004.22	-33.7718	0.522939	-32.9104	5009.09	4.54902	5005	0.0852475	0.000207027	0.085	54.5225	0.201277	54
19000	-71.2737	0.764531	-69.5958	5009.32	4.523	5004.48	-32.1729	0.493752	-31.0314	5008.74	4.55175	5005	0.08504	0.000202543	0.085	54.58	0.203069	55
19500	-70.1153	0.747303	-68.7725	5009.54	4.55096	5003.67	-30.6441	0.473563	-29.3987	5009.57	4.57873	5004	0.085275	0.000218186	0.085	54.6225	0.201995	54.5
20000	-68.3215	0.703281	-67.3169	5009.96	4.57012	5004.66	-29.3459	0.456537	-28.0675	5009.49	4.58861	5004	0.085345	0.000201784	0.085	54.695	0.203398	55
