#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3149.28	96.5515	-2576.24	5000	0	5000	-1944.88	64.9216	-1510.54	5000	0	5000	0	0	0	49.55	0.228417	49
500	-998.956	20.0126	-890.897	4983.78	11.6261	4999.95	-662.763	8.53887	-626.16	4984.93	11.9796	5000	0.518885	0.00699048	0.5065	49.0125	0.254766	49
1000	-598.918	4.87162	-589.529	4972.81	15.6673	4999.97	-487.885	3.85842	-481.777	4971.46	17.0443	5000	0.516732	0.00724633	0.4935	48.8125	0.288642	49
1500	-491.371	3.27376	-488.363	4972.69	17.0836	5000.4	-407.714	2.9923	-406.825	4970.63	17.0878	5000	0.520533	0.00725329	0.493	49.0325	0.287812	49
2000	-426.848	2.88695	-426.169	4973.11	17.1438	5001.07	-356.792	2.68093	-357.857	4976.06	17.3774	5001	0.516155	0.00717589	0.495	49.3225	0.286971	50
2500	-380.681	2.55272	-381.802	4974.93	17.2207	5001.05	-316.538	2.44534	-316.62	4974.98	17.309	5001	0.522765	0.00751059	0.5025	49.6	0.285511	50
3000	-344.403	2.41153	-345.545	4974.89	17.2929	5000.52	-284.203	2.34221	-285.272	4974.73	17.3161	5001	0.522815	0.00741605	0.5055	49.84	0.286253	50
3500	-313.327	2.32769	-313.683	4975.12	17.3101	5000.88	-257.201	2.26148	-257.743	4976.1	17.3095	5001	0.522675	0.00753365	0.499	50.1925	0.285688	50
4000	-286.606	2.28793	-288.087	4975.47	17.3219	5001.06	-232.588	2.18357	-231.811	4976.78	17.349	5001	0.515063	0.0074955	0.49	50.475	0.283017	51
4500	-264.434	2.17699	-263.238	4976.3	17.3518	5000.86	-212.724	2.11995	-210.963	4976.13	17.3579	5001	0.516445	0.00712613	0.505	50.725	0.281686	51
5000	-244.992	2.14476	-243.376	4977.21	17.3713	5000.99	-193.708	2.03596	-190.605	4978.4	17.4092	5002	0.513598	0.00739583	0.4925	51.055	0.280806	51
5500	-226.686	2.0565	-224.358	4977.99	17.4027	5000.82	-177.484	1.95012	-174.72	4978.37	17.4224	5000	0.524638	0.00748125	0.5015	51.3225	0.281058	52
6000	-210.885	1.98807	-209.536	4978.22	17.4321	5000.88	-163.321	1.90633	-161.37	4978.55	17.4355	5001	0.52429	0.00725722	0.508	51.4975	0.281132	52
6500	-196.88	1.92585	-194.34	4978.53	17.4351	5000.36	-150.841	1.8495	-149.094	4979.41	17.4423	5001.5	0.5175	0.00721476	0.4915	51.6325	0.281365	52
7000	-184.869	1.85071	-183.093	4979.46	17.441	5002.36	-139.24	1.79844	-135.57	4979.44	17.4698	5002	0.532193	0.00766617	0.507	51.84	0.27659	52
7500	-173.812	1.86038	-172.642	4979.61	17.4559	5003.3	-128.119	1.72897	-124.57	4980.37	17.4864	5003	0.519273	0.00728646	0.505	52.09	0.279329	52
8000	-162.327	1.74955	-160.998	4980.78	17.4867	5002.92	-118.285	1.68463	-115.937	4982.81	17.5091	5004	0.514348	0.00744261	0.4965	52.3	0.272968	52
8500	-153.553	1.72043	-150.434	4982.09	17.5029	5003.81	-109.154	1.60762	-106.534	4982.69	17.5025	5004.5	0.51917	0.00751151	0.4945	52.4525	0.273072	52.5
9000	-145.129	1.63722	-143.454	4982.36	17.5018	5004.34	-101.028	1.55574	-97.8834	4982.95	17.5207	5004	0.522525	0.00722584	0.4965	52.7375	0.27636	53
9500	-136.931	1.57786	-135.043	4983.34	17.3243	5004.3	-93.9383	1.49408	-91.281	4983.82	17.2244	5004.5	0.520072	0.00736806	0.49	52.935	0.271498	53
10000	-129.295	1.52946	-126.061	4984.08	17.2106	5004.85	-87.1152	1.43434	-84.3717	4985.1	17.2496	5005.5	0.51202	0.00724105	0.485	53.085	0.277036	53
10500	-122.86	1.4971	-119.27	4984.87	17.244	5004.77	-80.801	1.3799	-78.1958	4985.31	17.2507	5005	0.509863	0.00727935	0.4855	53.1525	0.2755	54
11000	-117.29	1.41475	-115.269	4985.17	17.2651	5004.55	-75.4238	1.3253	-71.9187	4984.97	17.2565	5004	0.52158	0.00761874	0.509	53.3175	0.274121	54
11500	-111.363	1.42989	-108.21	4985.6	17.2588	5004.12	-70.4825	1.27301	-66.9777	4986.64	17.2683	5006	0.520618	0.00738116	0.503	53.445	0.275308	54
12000	-105.683	1.34238	-103.565	4986.41	17.2665	5004.89	-65.8117	1.24182	-62.092	4986.69	17.2904	5005.5	0.520352	0.00749232	0.5045	53.6275	0.27413	54
12500	-101.528	1.3307	-97.9816	4987.05	17.293	5005.46	-61.3694	1.21331	-57.3942	4987	17.2825	5006	0.518428	0.00758903	0.4875	53.7275	0.268539	54
13000	-97.5447	1.2854	-95.3321	4987.15	17.2812	5004.79	-57.6523	1.18013	-54.136	4987.54	17.2893	5005	0.513825	0.00702953	0.487	53.905	0.270273	54
13500	-93.5463	1.22379	-91.4605	4986.99	17.2817	5005.57	-54.0564	1.14237	-50.383	4987.8	17.2838	5006.5	0.514157	0.00724523	0.475	53.98	0.269408	54
14000	-90.4785	1.22341	-88.0253	4987.45	17.2944	5005.15	-50.719	1.11359	-47.4361	4988.06	17.3501	5005	0.517327	0.00714042	0.502	54.055	0.270278	54
14500	-86.8189	1.20857	-84.0796	4987.79	17.298	5005.74	-47.8503	1.0892	-44.9981	4987.89	17.3172	5005	0.51563	0.00758635	0.49	54.2175	0.266017	54
15000	-84.7207	1.20052	-81.8708	4987.94	17.3185	5005.88	-45.2248	1.07923	-42.1128	4987.83	17.3117	5005	0.517682	0.00755262	0.485	54.245	0.267238	54
15500	-81.9036	1.17587	-79.4346	4988.05	17.3208	5004.88	-42.6313	1.05968	-39.5049	4988.15	17.3401	5004.5	0.516953	0.00767457	0.494	54.3325	0.267388	54
16000	-79.834	1.18145	-77.1974	4988.95	17.3394	5005.46	-40.3663	1.04843	-37.3368	4988.73	17.3654	5006.5	0.51792	0.00738923	0.4965	54.3875	0.267951	54
16500	-77.1403	1.16621	-75.2143	4988.89	17.3624	5007.15	-38.204	1.03364	-35.6384	4988.44	17.3694	5005	0.518493	0.00760681	0.4835	54.4975	0.267917	54
17000	-74.9256	1.14049	-71.0317	4988.9	17.3647	5006.1	-36.1403	1.0286	-33.7636	4989.25	17.3605	5005	0.525782	0.00751694	0.506	54.5625	0.26743	55
17500	-72	1.10389	-69.1125	4989.47	17.3727	5005.82	-34.2687	1.01523	-31.5431	4989.63	17.4096	5005.5	0.522537	0.00758116	0.488	54.5975	0.266512	54.5
18000	-70.9092	1.10987	-69.8477	4989.46	17.3684	5006.21	-32.5877	1.00615	-30.3038	4989.4	17.3522	5008	0.520338	0.00755392	0.489	54.6525	0.264583	55
18500	-69.2814	1.0925	-67.868	4989.97	17.3689	5008.32	-30.9484	0.992779	-28.9013	4989.02	17.3875	5008.5	0.525945	0.00726113	0.5065	54.7275	0.266455	55
19000	-66.8181	1.11188	-64.085	4989.68	17.368	5008.75	-29.5338	0.987511	-27.5296	4989.32	17.3771	5008	0.518327	0.00768305	0.4945	54.78	0.266023	55
19500	-66.0258	1.09795	-63.9143	4989.84	17.3807	5009.2	-28.1505	0.983107	-26.2064	4989.41	17.3645	5008	0.514505	0.00756538	0.4935	54.83	0.264438	55
20000	-64.7331	1.06585	-63.1658	4989.69	17.3837	5010.12	-26.9728	0.977776	-25.0356	4989.37	17.3785	5009	0.514965	0.00755495	0.488	54.865	0.265317	55
