#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3119.89	11.0311	-3108.76	5000	0	5000	-735.407	5.00727	-734.632	5000	0	5000	0	0	0	48.1075	0.233428	48
500	-889.694	6.71806	-894.421	3878.65	47.056	4054.45	-489.491	2.43776	-489.022	3827.44	76.6316	4014	3.52507	0.0274253	3.637	36.485	0.788482	38
1000	-576.77	5.65272	-554.701	3620.95	70.5633	3747.36	-413.006	2.33802	-415.601	3790.5	76.2946	3855.5	2.93088	0.0660695	3.015	36.5375	0.787653	37
1500	-449.353	3.83727	-440.366	3706.16	73.5891	3819.68	-360.873	2.55566	-362.298	3802.1	76.062	4020	3.02014	0.0784441	3	36.7725	0.773108	38
2000	-380.369	2.96181	-376.438	3759.76	74.3243	3890.14	-320.547	2.75477	-317.722	3773.51	75.4122	3917	3.09391	0.0806616	3.1435	36.915	0.762684	37.5
2500	-331.993	2.72712	-328.662	3763.69	75.0705	3891.97	-286.801	2.79524	-280.738	3767.7	75.0662	3924	3.11471	0.0839265	3.1175	37.1775	0.7524	39
3000	-298.216	2.64613	-295.563	3768.98	74.9912	3939.81	-259.038	2.84842	-254.166	3768.87	74.843	3904.5	3.13663	0.0845537	3.1505	37.6875	0.752864	39
3500	-270.168	2.66158	-266.054	3770.93	74.9629	3922.16	-234.542	2.83028	-226.852	3771.39	74.9621	3896.5	3.13675	0.0845897	3.1365	37.96	0.74724	39
4000	-246.015	2.66641	-241.746	3773.57	74.9945	3928.89	-213.811	2.81947	-207.443	3777.27	75.0051	3951.5	3.16972	0.0864709	3.107	38.3375	0.747877	39
4500	-225.957	2.64787	-218.713	3774.57	75.0285	3934.06	-194.948	2.79993	-185.819	3777.43	75.0195	3951.5	3.13708	0.0851125	3.081	38.655	0.746396	39
5000	-208.149	2.64211	-199.615	3776.45	75.0398	3936.51	-178.755	2.77955	-169.712	3781.07	75.0691	3951	3.15579	0.0857423	3.1515	38.9925	0.74375	40
5500	-192.124	2.62216	-183.654	3778.73	74.9855	3935.89	-163.903	2.73322	-155.416	3778.94	74.9739	3932	3.16383	0.0851176	3.132	39.29	0.74325	40
6000	-178.595	2.59925	-169.707	3779.43	74.9401	3941.22	-151.405	2.71503	-141.462	3780.16	74.9207	3939	3.1815	0.0856504	3.1545	39.44	0.742551	40
6500	-167.549	2.57366	-160.519	3780.24	74.9295	3936.59	-140.221	2.68862	-130.949	3780.24	74.9479	3942.5	3.18387	0.0866986	3.181	39.65	0.741032	40.5
7000	-155.946	2.54559	-148.261	3780.44	74.9598	3933.72	-130.096	2.63768	-121.037	3780.14	74.9444	3935.5	3.22465	0.0889651	3.186	39.8825	0.74215	41
7500	-145.614	2.52464	-138.43	3781.04	74.8957	3928.7	-120.6	2.59927	-112.192	3781.61	74.8939	3924.5	3.22649	0.0904156	3.17	40.0975	0.74241	41
8000	-136.696	2.48358	-128.478	3781.84	74.8936	3929.31	-112.027	2.57539	-103.053	3782.02	74.8937	3927	3.21733	0.0912667	3.176	40.295	0.741422	41.5
8500	-129.147	2.43479	-121.512	3782.26	74.9031	3934.27	-104.509	2.52659	-94.7668	3781.95	74.8989	3935	3.24465	0.0927028	3.157	40.49	0.742751	41
9000	-121.652	2.3961	-114.502	3781.86	74.908	3933.31	-97.9303	2.48831	-88.4566	3781.76	74.8707	3936.5	3.24182	0.0926924	3.101	40.625	0.741382	41.5
9500	-114.706	2.34676	-106.252	3782.06	74.8473	3928.06	-91.8111	2.43212	-81.3913	3781.81	74.8513	3929	3.27744	0.0937009	3.1805	40.7675	0.741947	42
10000	-109.709	2.3278	-102.26	3782.45	74.8416	3928.46	-86.0992	2.38346	-76.2226	3783.57	74.8463	3928	3.27283	0.0932519	3.173	40.9525	0.742211	42.5
10500	-103.939	2.2868	-96.0117	3783.4	74.8117	3925.93	-80.9638	2.34282	-70.6698	3783.29	74.7707	3925.5	3.2595	0.0932562	3.1845	41.085	0.741675	42
11000	-98.289	2.23082	-91.036	3784.05	74.7876	3925.3	-76.0525	2.29899	-65.6478	3783.68	74.7594	3927	3.27404	0.0930275	3.1455	41.2225	0.744164	42.5
11500	-94.0272	2.1931	-85.7465	3784.18	74.7715	3925.05	-71.5529	2.2846	-60.5972	3784.84	74.7398	3927	3.27574	0.0927286	3.1405	41.4175	0.745468	42
12000	-88.9624	2.20425	-81.9949	3784.85	74.7498	3924.97	-67.7192	2.26054	-56.7435	3784.87	74.7443	3924	3.28589	0.0920496	3.2045	41.5175	0.743846	43
12500	-86.5777	2.17411	-79.7627	3784.9	74.7393	3924.64	-64.2656	2.24332	-53.8559	3784.81	74.7394	3923	3.29601	0.0932617	3.181	41.635	0.744885	43
13000	-83.1126	2.16511	-75.8189	3785.56	74.7681	3923.69	-61.16	2.22245	-51.098	3786.69	74.8142	3923	3.30764	0.093871	3.171	41.78	0.745625	43
13500	-79.1277	2.1746	-71.5179	3786.14	74.7874	3922.72	-58.2986	2.21793	-48.7357	3786.13	74.7871	3915.5	3.32924	0.096034	3.2705	41.85	0.745038	43
14000	-76.9701	2.12866	-69.1796	3786.39	74.7911	3924.53	-55.5235	2.20695	-45.8846	3787.19	74.7963	3927.5	3.30628	0.095482	3.2475	41.95	0.746004	43
14500	-74.2996	2.13639	-66.1763	3787.03	74.8095	3925.18	-53.0519	2.19426	-43.3497	3787.84	74.8223	3927.5	3.33262	0.0967669	3.256	42.045	0.747029	43
15000	-72.3208	2.13088	-64.315	3787.54	74.8208	3925.31	-50.7601	2.18411	-40.8468	3787.28	74.8072	3922	3.34056	0.0973653	3.2385	42.1175	0.745031	43
15500	-70.017	2.11054	-62.7535	3787.52	74.8143	3925.04	-48.7506	2.16915	-39.1709	3787.63	74.7992	3924	3.34634	0.0967559	3.2095	42.2025	0.74602	44
16000	-68.0085	2.11469	-60.7478	3787.96	74.8112	3926.09	-46.8409	2.16746	-37.3246	3788.27	74.82	3923.5	3.32893	0.0963959	3.261	42.31	0.7462	44
16500	-66.1467	2.12203	-58.5041	3788.72	74.7913	3926.12	-44.6967	2.15513	-35.4692	3789.76	74.8254	3923	3.32193	0.0973722	3.2775	42.3825	0.744792	44
17000	-64.5426	2.08436	-58.3056	3788.99	74.8019	3925.9	-42.9777	2.15168	-33.889	3788.71	74.795	3923.5	3.32555	0.0980326	3.241	42.4625	0.745216	44
17500	-61.5482	2.09021	-54.2422	3788.97	74.803	3925.74	-41.3327	2.14733	-32.076	3788.7	74.8028	3923.5	3.35828	0.0962288	3.308	42.505	0.744664	44
18000	-60.367	2.08571	-53.0372	3789	74.7933	3923.7	-39.7637	2.14214	-30.7521	3789.23	74.7762	3922.5	3.37824	0.098186	3.284	42.58	0.742782	44
