#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3119.23	10.5382	-3119.11	5000	0	5000	-730.129	4.9929	-731.872	5000	0	5000	0	0	0	48.545	0.215345	49
500	-1048.04	8.82642	-1063.07	4951.59	8.02004	4985.47	-515.277	2.97945	-515.458	4944.6	15.7529	5000	37.1052	0.453471	39.592	47.5625	0.262225	48
1000	-623.926	7.4198	-584.941	4933.42	14.4038	4998.73	-420.704	2.58888	-419.429	4937.92	15.8556	5000	14.1911	0.46931	12.5535	47.3375	0.266997	47.5
1500	-468.529	4.53863	-447.311	4933.05	15.422	4998.62	-359.44	2.5549	-356.03	4939.06	15.7352	4999	5.14817	0.282331	2.764	47.5925	0.255228	48
2000	-393.406	3.62396	-382.54	4939.75	15.4741	4998.66	-311.523	2.4888	-311.988	4943.42	15.4963	4999	3.09815	0.181833	2.563	47.84	0.250185	48
2500	-338.839	2.75417	-335.046	4940.76	15.6068	4998.28	-274.978	2.40084	-273.859	4941.33	15.7893	4998	2.57068	0.107406	2.5515	48.2275	0.246178	48
3000	-301.002	2.62228	-297.262	4942.23	15.722	4997.89	-243.568	2.28906	-243.879	4941.65	15.8221	4998.5	2.35429	0.046265	2.527	48.5625	0.252933	49
3500	-270.36	2.38008	-270.921	4943.95	15.7705	4998.69	-218.252	2.23336	-218.616	4944.34	15.8145	4998	2.2923	0.0279071	2.499	48.96	0.247789	49
4000	-245.243	2.24396	-242.913	4945.08	15.809	4998.77	-196.172	2.12723	-194.711	4946.05	15.9042	4997	2.28239	0.0274602	2.5075	49.2175	0.248606	49
4500	-223.404	2.15868	-222.226	4946.37	15.8791	4998.82	-177.975	2.00241	-176.205	4947.53	15.9419	4999	2.29167	0.0271569	2.526	49.605	0.247438	50
5000	-205.407	2.02532	-203.093	4946.89	15.8992	4998.12	-160.899	1.86889	-161.118	4947.09	15.9357	4998	2.28115	0.0268452	2.4995	49.98	0.247568	50
5500	-189.116	1.91986	-187.504	4947.37	15.929	4998.01	-145.705	1.74882	-144.313	4948.01	15.9683	4997	2.28814	0.0275176	2.531	50.1975	0.245733	50
6000	-174.226	1.79002	-173.035	4948.36	15.9727	4997.97	-133.205	1.65023	-131.861	4950.03	15.9744	4997.5	2.2834	0.0272115	2.5365	50.5825	0.242652	51
6500	-163.247	1.70678	-161.929	4950.72	15.9466	4998.22	-121.959	1.56066	-119.927	4951.98	15.989	4998	2.29603	0.0303477	2.524	50.845	0.244211	51
7000	-152.173	1.62359	-151.247	4951.51	15.9874	4999.07	-111.63	1.48879	-110.777	4952.01	16.0001	4999.5	2.30556	0.0363757	2.512	51.0525	0.243228	51
7500	-141.011	1.57651	-139.532	4951.86	16.0098	4998.75	-102.566	1.40113	-99.9187	4952.8	15.9778	4999	2.31795	0.0357696	2.535	51.295	0.242186	51
8000	-133.141	1.46465	-130.755	4951.92	16.0051	4998.8	-94.7623	1.31336	-92.1189	4951.68	16.0016	4997	2.31224	0.0373688	2.5295	51.465	0.240477	51.5
8500	-125.108	1.45361	-124.609	4952.15	16.0031	4999.05	-87.3105	1.24143	-85.2321	4952.59	15.9892	4997	2.31594	0.0311045	2.5475	51.6325	0.242002	52
9000	-117.72	1.3441	-116.413	4952.24	15.9938	4998.85	-80.6033	1.16697	-78.4425	4952.68	16.067	4998	2.29686	0.0273197	2.528	51.7875	0.240339	52
