#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3100.48	100.027	-2546.06	5000	0	5000	-1958.46	68.1244	-1510.8	5000	0	5000	0	0	0	49.6725	0.220817	50
500	-984.24	21.9085	-881.636	4996.41	2.25138	4999.98	-640.971	8.31426	-618.362	4984.05	12.4058	5000	1.32854	0.0046771	1.326	49.05	0.250125	49
1000	-592.955	5.05624	-582.47	4983.78	12.4214	4999.77	-474.421	3.76321	-467.482	4985.83	12.603	5000	1.33375	0.00501143	1.334	48.915	0.249449	49
1500	-477.612	3.45615	-473.451	4984.3	12.4351	4999.88	-394.731	2.99548	-390.08	4984.31	12.3514	5000	1.33265	0.0054037	1.331	49.185	0.248483	49
2000	-404.88	3.00114	-398.824	4984.24	12.4114	4999.98	-340.852	2.80794	-339.552	4984.74	12.4416	5000	1.32727	0.00573542	1.327	49.47	0.246245	49.5
2500	-353.968	2.73932	-353.658	4985.24	12.4371	5000.39	-297.477	2.59028	-294.077	4985.02	12.4525	5000	1.33026	0.00576158	1.3305	49.825	0.247744	50
3000	-312.071	2.53564	-311.081	4985.42	12.445	5000.45	-261.607	2.44223	-258.949	4985.46	12.4571	5000	1.33406	0.00597253	1.3285	50.2625	0.2489	50
3500	-278.301	2.42581	-276.317	4986.6	12.4617	5000.52	-230.081	2.33162	-225.125	4988.33	12.5299	5000	1.3313	0.00613532	1.332	50.725	0.249658	51
4000	-249.168	2.33148	-247.511	4988.37	12.515	5000.45	-204.634	2.22287	-201.484	4989.68	12.5548	5001	1.34164	0.00668127	1.343	51.08	0.248774	51
4500	-224.858	2.23135	-221.885	4989.35	12.5256	5001.4	-182.511	2.0758	-178.802	4990.21	12.5394	5001	1.32985	0.00656907	1.324	51.395	0.244637	52
5000	-202.749	2.03762	-199.713	4990.17	12.5407	5000.76	-162.821	1.95397	-159.655	4991.27	12.5868	5001	1.33165	0.00671403	1.324	51.8425	0.244117	52
5500	-184.765	1.92951	-183.853	4991.33	12.5671	5001.51	-146.915	1.86046	-143.45	4992.6	12.597	5001	1.33171	0.00557855	1.331	52.0825	0.243644	52
6000	-169.266	1.86229	-164.763	4992.52	12.5828	5002.44	-132.09	1.74749	-129.646	4993.68	12.6077	5002	1.3292	0.00581426	1.3305	52.4125	0.244038	52
6500	-154.771	1.75546	-152.178	4993.45	12.5999	5001.87	-119.961	1.64847	-118.394	4993.35	12.6146	5002	1.33086	0.00583327	1.328	52.57	0.243049	53
7000	-143.084	1.69486	-140.587	4993.76	12.6065	5002.05	-108.383	1.58073	-106.129	4993.06	12.6149	5002	1.33135	0.0058884	1.327	52.78	0.241687	53
7500	-132.12	1.6242	-129.849	4993.94	12.6102	5002.64	-98.1981	1.50128	-94.3036	4994.72	12.6331	5003	1.32386	0.00565889	1.3225	53.0425	0.237234	53
8000	-121.731	1.55296	-118.177	4994.6	12.622	5002.86	-88.8243	1.41655	-85.2636	4994.87	12.6351	5004	1.33057	0.00531205	1.337	53.3575	0.239358	53
8500	-112.936	1.50293	-110.883	4994.88	12.6286	5002.83	-80.7751	1.38113	-77.0698	4994.77	12.6408	5003	1.33182	0.00559024	1.331	53.47	0.237753	54
9000	-105.127	1.41946	-102.87	4995.68	12.6645	5002.37	-73.7076	1.31745	-69.8429	4997.78	12.7529	5004	1.3297	0.00606121	1.33	53.625	0.239932	53.5
9500	-99.0031	1.38894	-95.5722	4997.19	12.7284	5002.94	-67.4606	1.26622	-63.075	4997.89	12.7813	5002.5	1.33178	0.00591758	1.3325	53.8075	0.238969	54
10000	-92.2765	1.32084	-90.3638	4998.13	12.7517	5003.88	-61.8862	1.23272	-57.6382	4998.45	12.7764	5003.5	1.33403	0.00609131	1.3375	53.9725	0.239002	54
10500	-86.0276	1.29049	-82.8425	4998.32	12.776	5003.79	-56.596	1.17421	-52.822	4998.65	12.8165	5004.5	1.33747	0.00563185	1.3405	54.1675	0.238518	54
11000	-81.6078	1.24671	-78.7212	4999.32	12.79	5004.23	-52.2358	1.14039	-48.5505	4998.94	12.7964	5004	1.33164	0.00542256	1.3355	54.3075	0.238274	54
11500	-77.2654	1.20104	-74.0206	4999.12	12.8032	5004.9	-48.2325	1.10343	-44.47	4998.83	12.8024	5004.5	1.32777	0.00569807	1.327	54.4475	0.237875	54.5
12000	-73.2328	1.17519	-71.5115	4999.05	12.7923	5004.27	-44.7747	1.0743	-41.4955	5000.19	12.818	5004	1.33073	0.00578187	1.328	54.5725	0.240038	55
12500	-69.434	1.14508	-66.6333	4999.21	12.7945	5004.48	-41.4151	1.04425	-38.4462	4998.81	12.8053	5004	1.33594	0.00605933	1.336	54.655	0.238263	55
13000	-66.833	1.09525	-64.9154	4999.08	12.7957	5004.5	-38.2886	1.01103	-35.6957	4998.89	12.8084	5003.5	1.33946	0.00627349	1.34	54.8025	0.237987	55
13500	-63.383	1.07268	-61.0218	4999.05	12.8075	5004.57	-35.6479	0.987064	-33.3378	4999.82	12.813	5004	1.33276	0.00551668	1.336	54.875	0.238885	55
14000	-59.718	1.03767	-56.8302	4999.27	12.8166	5003.93	-33.2578	0.969214	-30.9897	4999.53	12.8411	5004	1.33115	0.00564452	1.328	54.96	0.237855	55
14500	-58.578	1.05191	-56.1118	4999.47	12.8244	5003.61	-31.1065	0.955634	-28.7027	5000.07	12.8533	5005	1.32441	0.0058148	1.3245	55.075	0.238911	55
15000	-55.5999	1.00056	-53.2792	5000.23	12.8259	5005.4	-29.1061	0.939048	-27.0431	5000.49	12.8602	5004	1.3395	0.00575266	1.343	55.135	0.238819	55
15500	-54.7102	0.989316	-53.4562	5000.77	12.839	5004.6	-27.4062	0.926814	-25.5369	5001.18	12.8312	5004.5	1.32898	0.00619221	1.3285	55.2075	0.240011	55
16000	-52.5814	0.980039	-51.2518	5001.4	12.8422	5004.93	-25.7573	0.913995	-23.9727	5001.33	12.8643	5003	1.33165	0.00606022	1.33	55.28	0.238844	55
16500	-51.3547	0.989015	-48.787	5001.52	12.8593	5005.73	-24.2214	0.904359	-22.2195	5001.43	12.8943	5005	1.33757	0.00587369	1.333	55.295	0.238668	55
17000	-49.0732	0.936699	-47.2645	5001.6	12.8663	5006.35	-22.8409	0.895504	-20.7617	5001.65	12.8596	5006	1.34275	0.00554271	1.3505	55.36	0.238444	56
17500	-48.3346	0.966049	-45.8881	5001.58	12.8636	5006.66	-21.6685	0.88891	-19.7417	5001.94	12.8381	5008	1.32975	0.00567453	1.33	55.4575	0.238511	56
18000	-47.0308	0.919494	-46.198	5002.04	12.8624	5006.69	-20.5791	0.885487	-18.7593	5002.61	12.8673	5007	1.33966	0.00603842	1.3295	55.5025	0.238074	56
18500	-45.6157	0.944802	-42.912	5002.56	12.8567	5005.79	-19.5878	0.881464	-17.6809	5002.83	12.8824	5006.5	1.34199	0.00672182	1.3395	55.5475	0.238588	56
19000	-44.7371	0.938365	-43.8448	5002.35	12.8624	5006.52	-18.6044	0.876271	-16.9001	5003.95	12.8875	5008	1.33749	0.00693235	1.326	55.615	0.238162	56
19500	-43.6956	0.934032	-41.8114	5002.79	12.8641	5007.86	-17.7452	0.87345	-16.275	5002.38	12.8748	5006	1.33947	0.00565859	1.3355	55.6875	0.23802	56
20000	-42.9513	0.906572	-41.9537	5002.72	12.871	5007.03	-16.9513	0.870988	-15.6287	5002.07	12.8728	5007	1.33145	0.00545511	1.3345	55.7475	0.238251	56
20500	-42.36	0.926469	-39.8601	5002.68	12.8752	5008.67	-16.2668	0.869005	-14.707	5003.02	12.8819	5008	1.33816	0.00584981	1.336	55.81	0.23925	56
21000	-41.6748	0.929622	-39.9829	5002.87	12.8812	5008.11	-15.5499	0.8671	-14.1877	5002.59	12.8971	5007	1.33938	0.00573436	1.345	55.8525	0.238866	56
21500	-40.9367	0.938238	-38.9673	5003.25	12.8944	5006.78	-14.8909	0.864524	-13.5031	5003.14	12.8942	5007	1.33859	0.00569315	1.341	55.8975	0.23882	56
22000	-40.176	0.899411	-38.3655	5003.54	12.9078	5007.03	-14.281	0.863752	-12.725	5003.07	12.9287	5006	1.33144	0.00565687	1.334	55.9525	0.239571	56
22500	-39.7179	0.955167	-37.6042	5003.15	12.912	5006.29	-13.8046	0.862979	-12.3298	5002.4	12.9097	5005.5	1.3309	0.00563522	1.324	56.0275	0.24057	56
23000	-38.8108	0.911926	-37.4025	5003.14	12.9138	5005.97	-13.3016	0.86211	-11.6945	5003.06	12.92	5006	1.33717	0.005674	1.3375	56.0625	0.240606	56
23500	-38.5991	0.915327	-36.8441	5003.46	12.9189	5006.64	-12.8425	0.860928	-11.1749	5003.65	12.939	5006	1.33594	0.00585862	1.3395	56.085	0.240341	56
24000	-38.7736	0.927959	-37.1344	5004	12.9323	5005.8	-12.4316	0.859913	-10.7762	5003.55	12.9504	5007	1.33947	0.00579059	1.3405	56.1325	0.23936	56
24500	-37.7199	0.919906	-36.2358	5003.84	12.9359	5006.47	-12.0179	0.858819	-10.5393	5004.07	12.947	5006	1.32592	0.00547947	1.329	56.175	0.238806	56
25000	-37.3291	0.916503	-36.1267	5003.82	12.9354	5006.64	-11.6325	0.858317	-10.1968	5003.77	12.9352	5008	1.34101	0.00589498	1.342	56.2175	0.23978	57
25500	-36.6161	0.900446	-35.2671	5004.16	12.9422	5007.35	-11.2848	0.857899	-9.86971	5004.74	12.9522	5008	1.33624	0.00525934	1.3415	56.26	0.240313	56.5
26000	-36.0698	0.902241	-34.7234	5004.43	12.939	5008.9	-10.9396	0.857472	-9.59879	5003.96	12.9463	5007	1.33234	0.00603872	1.3375	56.2875	0.239934	57
26500	-36.6186	0.89396	-34.8368	5004.38	12.9408	5007.44	-10.6348	0.857134	-9.30695	5004.5	12.9512	5008	1.33825	0.00625457	1.335	56.34	0.239147	57
27000	-35.8689	0.900932	-34.4833	5004.77	12.9489	5007.75	-10.3467	0.856977	-9.04981	5004.87	12.9556	5008.5	1.33447	0.00662993	1.326	56.375	0.240714	57
27500	-35.8245	0.886643	-33.96	5004.87	12.9442	5007.66	-10.062	0.856815	-8.68014	5004.38	12.9568	5009.5	1.3384	0.00659967	1.338	56.3975	0.241339	57
28000	-34.9156	0.897309	-33.4137	5004.6	12.9501	5008.09	-9.78982	0.856334	-8.42715	5005.36	12.9559	5009.5	1.33434	0.00633189	1.333	56.4275	0.239228	57
28500	-35.5838	0.891379	-33.9206	5004.77	12.9511	5009.18	-9.54513	0.856119	-8.24525	5005.11	12.9615	5010	1.33379	0.00595854	1.3325	56.465	0.239981	57
29000	-34.692	0.911105	-32.7493	5005.09	12.9513	5011.13	-9.317	0.855832	-8.07216	5005.26	12.9652	5009	1.33805	0.00565541	1.337	56.4875	0.239595	57
29500	-34.6362	0.91119	-33.1987	5004.86	12.9582	5009.85	-9.08335	0.855511	-7.84352	5004.98	12.9741	5010	1.33248	0.00580632	1.333	56.525	0.239775	57
30000	-33.9088	0.906824	-32.2793	5004.94	12.9614	5010.59	-8.86752	0.855245	-7.65296	5004.6	12.9775	5009	1.33646	0.00537488	1.345	56.5275	0.239147	57
