#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3128.84	10.4609	-3113.81	5000	0	5000	-737.366	5.23847	-735.118	5000	0	5000	0	0	0	48.8175	0.235902	49
500	-664.578	4.20369	-663.488	4989.6	4.60629	4999.68	-497.412	2.95887	-496.203	4984.97	6.3901	5000	8.2476	0.127987	8.1005	48.2075	0.231154	48
1000	-498.902	2.84209	-493.296	4986.86	6.04182	4999.78	-409.78	2.35728	-408.502	4987.78	6.13751	5000	2.01807	0.089671	1.109	48.5175	0.223801	48
1500	-425.68	2.40567	-426.779	4986.02	6.18548	4999.55	-355.72	2.16592	-356.918	4987.07	6.38926	5000	1.0576	0.0502746	0.884	48.715	0.224802	49
2000	-375.383	2.1926	-373.889	4986.82	6.35283	4999.74	-314.253	2.09571	-313.761	4986.23	6.42032	5000	0.883475	0.0236133	0.8695	48.9675	0.224621	49
2500	-338.076	2.13146	-338.066	4987.72	6.43694	5000.12	-280.745	2.06573	-280.942	4988.82	6.51363	5001	0.83317	0.0117546	0.8535	49.2775	0.223469	49
3000	-306.286	2.10583	-305.523	4988.74	6.51877	4999.93	-252.347	2.06157	-251.38	4989.92	6.55878	5001	0.825823	0.00892525	0.8565	49.665	0.221398	49
3500	-279.266	2.04987	-282.689	4990.04	6.56857	5000.16	-228.036	1.93691	-227.132	4989.61	6.55248	5000	0.82829	0.00864921	0.8585	50.035	0.221658	50
4000	-254.55	1.99114	-254.41	4990.05	6.56857	5000.73	-206.234	1.86238	-204.572	4990.56	6.59676	5000	0.82889	0.00910125	0.873	50.395	0.218929	50
4500	-235.215	1.89362	-234.822	4989.93	6.59217	5000.76	-185.508	1.76345	-184.069	4991.66	6.46833	5001	0.831015	0.00907083	0.8705	50.6625	0.215639	50
5000	-215.026	1.81798	-214.494	4991.92	6.65803	5000.7	-168.311	1.68457	-167.137	4999.06	9.30941	5001	0.839815	0.00927527	0.875	51.07	0.223046	51
5500	-198.181	1.70984	-197.798	4998.12	8.93199	5000.73	-153.047	1.59438	-151.43	4999.59	9.32729	5001	0.871848	0.0445893	0.864	51.4	0.219278	51
6000	-183.523	1.63956	-180.981	4999.33	9.36766	5000.6	-139.003	1.52749	-137.157	4999.51	9.36817	5000	0.888232	0.0583359	0.855	51.66	0.21605	51
6500	-169.989	1.58918	-167.626	4999.47	9.37997	5000.55	-126.615	1.47825	-124.266	4999.62	9.45966	5001	0.893753	0.0521024	0.8715	51.87	0.215869	51
7000	-159.337	1.52177	-157.351	5000.14	9.42812	5000.89	-115.897	1.41975	-112.942	5001.16	9.52033	5002	0.89283	0.0516727	0.876	52.13	0.216998	52
7500	-147.882	1.52909	-144.788	5000.44	9.48495	5001.43	-106.22	1.33827	-102.705	5001.36	9.51495	5001.5	0.88086	0.0438323	0.872	52.375	0.215992	52
8000	-137.966	1.46524	-133.765	5001.03	9.50826	5002.13	-97.6376	1.26802	-95.34	5001.38	9.51219	5002	0.877885	0.0440034	0.865	52.57	0.21284	52
