#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3103.41	10.091	-3106.2	5000	0	5000	-745.84	4.87371	-745.96	5000	0	5000	0	0	0	48.4975	0.228403	49
500	-660.304	3.67727	-657.885	4781.99	35.0955	4990.62	-503.579	2.92318	-506.238	4818.18	40.8414	5000	0.895185	0.0106974	0.9275	46.6825	0.458139	48
1000	-500.284	2.84843	-499.42	4809.81	41.0665	4999.03	-412.795	2.53443	-414.776	4823.11	41.3155	4999	0.921385	0.0144839	0.9375	46.73	0.454295	48
1500	-424.249	2.46644	-427.946	4820.28	41.3775	4998.98	-357.328	2.41802	-359.621	4827.6	41.4696	4999	0.94187	0.0162981	0.9665	46.89	0.450405	48
2000	-375.861	2.34349	-377.452	4827.88	41.4832	4999.01	-315.675	2.32452	-316.377	4830.26	41.5835	4999	0.95156	0.0156821	0.982	47.29	0.454526	49
2500	-337.618	2.28581	-339.17	4830.41	41.5311	4998.36	-281.306	2.31494	-281.174	4830.65	41.5826	4998	0.948063	0.0155091	0.982	47.7625	0.45454	49
3000	-304.55	2.24691	-303.732	4833.06	41.452	4998.34	-252.715	2.29304	-252.154	4834.69	41.4237	4999	0.959487	0.0157945	0.9825	47.9975	0.453246	49
3500	-277.131	2.21379	-276.36	4834.17	41.4082	4998.17	-227.71	2.2687	-226.258	4834.25	41.4224	4997.5	0.942228	0.0158668	0.98	48.365	0.450499	50
4000	-254.668	2.15973	-254.92	4835.06	41.4125	4997.47	-206.3	2.20258	-204.323	4835.71	41.3929	4998	0.947005	0.0157058	0.9785	48.72	0.445069	50
4500	-234.635	2.18361	-233.147	4836.11	41.3812	4999.05	-187.541	2.18295	-185.216	4836.5	41.3998	4998	0.946047	0.0151786	0.9845	49.0425	0.446529	50
5000	-215.327	2.17546	-213.894	4836.69	41.4049	4998.28	-170.496	2.15708	-166.766	4837.75	41.4043	4998	0.945975	0.0161283	0.9875	49.2875	0.447633	50
5500	-199.881	2.11156	-197.804	4838.8	41.3488	4998.9	-155.797	2.0563	-149.777	4839.21	41.3198	4998	0.943765	0.0154396	0.9625	49.63	0.44181	51
6000	-185.027	2.02785	-180.363	4838.99	41.3121	4997.84	-142.249	1.96124	-137.245	4838.91	41.3138	4998	0.951438	0.0155545	0.9925	49.825	0.440435	51
6500	-171.716	1.95575	-166.699	4838.76	41.2152	4997.36	-130.199	1.91232	-123.871	4839.84	41.1207	4998	0.943167	0.0155239	0.9685	50.035	0.438438	52
