#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3079.79	99.726	-1076.2	5000	0	5000	-1913.29	66.4942	-752.225	5000	0	5000	0	0	0	49.8825	0.223459	52.5
500	-979.49	19.8863	-640.045	4987.27	8.97011	5002.16	-642.175	7.82891	-501.802	4981.98	10.883	4998.5	2.42159	0.022096	2.6245	49.2475	0.249391	52
1000	-598.072	5.23586	-482.401	4982.15	10.442	4998.7	-479.637	3.92794	-388.641	4978.87	11.1815	4998.5	2.35037	0.021899	2.654	49.1325	0.246961	51.5
1500	-478.85	3.68394	-383.377	4980.46	11.0325	5000.81	-398.903	3.1737	-327.575	4981.39	10.9875	5002.5	2.34455	0.0223718	2.288	49.2775	0.243772	52
2000	-407.691	3.08102	-337.362	4979.9	11.0664	5002.61	-342.308	2.82404	-293.682	4980.6	11.1106	5004.5	2.34958	0.0219539	2.533	49.5175	0.245765	52
2500	-355.674	2.84115	-313.144	4980.28	11.0761	5006.89	-299.839	2.70031	-266.471	4980.62	11.1113	5020.5	2.33762	0.022382	2.5515	49.9	0.243872	52.5
3000	-313.242	2.71342	-277.422	4981.57	11.1055	5005.62	-263.643	2.50167	-220.899	4982.27	11.1354	4993	2.36394	0.0227064	2.7245	50.23	0.245369	53
3500	-281.07	2.58616	-242.716	4982.32	11.2025	4992.83	-235.038	2.43127	-207.917	4982.47	11.25	4994	2.3429	0.0222571	2.763	50.6375	0.238238	52.5
4000	-253.671	2.41956	-227.217	4982.27	11.2289	4992.78	-211.079	2.30779	-191.518	4982.37	11.2224	4974.5	2.3401	0.0233703	2.75	51.0525	0.24082	52.5
4500	-230.025	2.29057	-210.27	4983.34	11.2447	4991.55	-190.191	2.1584	-178.474	4984.69	11.2829	4993.5	2.35027	0.0225838	2.5105	51.43	0.236437	53
5000	-209.935	2.17537	-199.919	4984.65	11.2813	4995.69	-170.899	2.03542	-162.099	4985.28	11.3186	4993.5	2.35837	0.0219806	2.4925	51.8075	0.235829	53
5500	-191.952	2.06594	-177.887	4984.87	11.2993	4994.39	-154.539	1.92002	-149.586	4985.09	11.3001	4992.5	2.33411	0.0220126	2.329	52.19	0.236378	54
6000	-176.313	1.93597	-174.038	4984.57	11.2908	4992.39	-139.905	1.79989	-135.085	4985.39	11.319	4994.5	2.34757	0.022516	2.3135	52.375	0.236327	54.5
6500	-161.919	1.86574	-160.548	4985.46	11.3197	4995.41	-126.702	1.70014	-128.231	4985.73	11.3232	4994	2.34322	0.0227908	2.451	52.6725	0.234789	54.5
7000	-148.396	1.77541	-163.814	4985.82	11.325	4995.41	-114.894	1.60054	-123.515	4985.74	11.343	4994	2.33485	0.0227939	2.5425	52.9325	0.237431	55.5
