#gen	avgfit_mean	avgfit_sd	avgfit_med	avgbits_mean	avgbits_sd	avgbits_med	fit_mean	fit_sd	fit_med	bits_mean	bits_sd	bits_med	cpu_mean	cpu_sd	cpu_med	genes_mean	genes_sd	genes_med
0	-3124.22	120.135	-1485.73	5000	0	5000	-1913.64	77.1333	-841.668	5000	0	5000	0	0	0	49.4725	0.249806	45
500	-1006	28.6675	-728.797	4999.95	0.523681	5000.2	-691.456	14.9836	-582.993	5000.27	0.283742	5000	6.03179	0.0460095	6.153	49.0841	0.257731	45
1000	-620.531	8.32264	-571.668	4999.6	0.742246	4999.99	-522.154	5.59969	-529.842	4999.82	0.655129	5000	6.04208	0.052585	6.088	49.1456	0.256722	47
1500	-495.753	4.89619	-482.864	4999.86	0.893032	5000.88	-443.301	4.22761	-437.149	4999.6	1.02539	5000	6.03927	0.046194	6.083	49.1845	0.259167	46
2000	-426.858	3.91408	-384.183	4999.48	0.963323	4997.33	-391.608	3.65496	-327.847	4999.4	0.991932	4993	6.00291	0.0461408	6.296	49.3366	0.255791	48
2500	-380.862	3.57101	-312.732	4999.18	1.02186	5004.85	-354.627	3.47037	-275.644	4998.54	1.24361	4999	6.01794	0.0461355	6.222	49.6246	0.258802	47
3000	-347.631	3.43338	-250.552	5000.42	1.43999	4997.28	-325.466	3.32794	-203.497	5001.27	1.68739	4994	6.02094	0.0461568	6.142	49.9547	0.253363	47
3500	-319.653	3.26268	-191.048	5001.05	1.66015	4994.99	-300.184	3.17806	-157.181	5001.64	1.71137	4995	6.02256	0.0467122	6.183	50.301	0.257184	48
4000	-296.25	3.12453	-156.33	5001.07	1.69205	4993.86	-278.327	3.05817	-144.889	5001.61	1.7027	4993	6.00991	0.0462425	6.166	50.6117	0.25878	48
4500	-275.356	2.97963	-147.673	5001.59	1.73571	4994.25	-259.032	2.90808	-135.088	5002.47	1.91901	5035	6.00855	0.047102	6.352	50.8091	0.263335	49
